aval,lambda,lambda_sem
0.6,-0.530680258204993,0.008109936943033209
0.61,-0.5030003304291649,0.006591529645713257
0.62,-0.49451100705775325,0.007780683003008119
0.63,-0.49285599429944604,0.006453645876815059
0.64,-0.46032591372808385,0.005713391676976718
0.65,-0.44838122723383406,0.008924168520115055
0.66,-0.40538372029930186,0.011581200369832503
0.67,-0.41479681257859924,0.006403649718013217
0.68,-0.366824804631801,0.012113867236012777
0.69,-0.29745942252493807,0.025855253743273916
0.7,-0.27183945430090484,0.02541311346382303
0.71,-0.20230558388405384,0.034441860010778626
0.72,-0.005006563855496169,0.04099206099578313
0.73,0.11899782763712867,0.04331291802670425
0.74,0.23605782398938246,0.032362533367364214
0.75,0.32329391917212574,0.023369173758750438
0.76,0.3583030091625319,0.023017175976778013
0.77,0.4135482109650711,0.01254368608699942
0.78,0.4318214188844272,0.012868999551104966
0.79,0.4142316383570816,0.014700553163994231
0.8,0.42155394887321873,0.010214848617477512
