aval,lambda,lambda_sem
0.6,-0.5078310385276994,0.00027580696512369474
0.62,-0.474866072233207,0.00025807777253427077
0.64,-0.4424700611455261,0.00026769415624469943
0.6599999999999999,-0.4112950606050846,0.0002722581140015534
0.6799999999999999,-0.3804020979671095,0.00027673817611807407
0.7,-0.35088863762437145,0.0003410870093423323
0.72,-0.25897645260364255,0.006624575063694044
0.74,0.11207714705794496,0.011613101113657048
0.76,0.34892596678390386,0.0030676361370451416
0.78,0.38302552736529977,0.0015824789071232875
0.8,0.402676632430139,0.0008514990778469122
0.82,0.4151547505081572,0.000707481014339457
0.84,0.4261274250055388,0.0007430183523035804
0.86,0.43205007450455885,0.0006629594221329234
0.88,0.43614925908136254,0.0006530218103878485
0.8999999999999999,0.4393282827250193,0.0006209739824506129
0.9199999999999999,0.4430956545309012,0.0006363687027747492
0.94,0.4436078430278821,0.0006139940742633354
0.96,0.44560857652407104,0.000625169735271751
0.98,0.44686170714788753,0.0005910657986101707
1.0,0.4453487928494814,0.0006049307713334754
