aval,lambda,lambda_sem
0.6,-0.3102851600889396,7.467350759195804e-6
0.62,-0.27723512445137993,1.997707255973718e-5
0.64,-0.2452409083303654,3.544908096343744e-5
0.6599999999999999,-0.21416798508365684,2.990842590630135e-5
0.6799999999999999,-0.18410504276042286,3.194127959437677e-5
0.7,-0.15482066044083836,3.268585543678849e-5
0.72,-0.1263709629722705,3.074778789773644e-5
0.74,-0.0987031832718755,2.9534662114938196e-5
0.76,-0.07191661300413324,4.651917744795304e-5
0.78,-0.045718347864321614,3.923220569601208e-5
0.8,-0.020174743375089173,3.8697721687168026e-5
0.82,0.02355269300294792,0.002103790786598235
0.84,0.05675750495634912,0.0023823085978002738
0.86,0.08664975063989507,0.0021635598476270113
0.88,0.10291942014595064,0.0019758812011064627
0.8999999999999999,0.11095015957606658,0.002057840733025339
0.9199999999999999,0.13239970526029535,0.0029636377533097846
0.94,0.13144312655468313,0.0029649763296984077
0.96,0.09795765320212879,0.001929649514280726
0.98,0.0643361457443658,0.000985712544830625
1.0,0.05649869806187621,0.0008673345818913092
