aval,value,value_err
0.68,11.291540826517956,0.0354112453654925
0.7,19.16689697117227,0.06126239048736991
0.71,28.88871026743106,0.0666991867760517
0.72,51.302090625736376,0.29039889183227713
0.73,98.3966480484048,0.4645202048136203
0.74,221.9355903119816,0.660679196488106
0.75,623.4138239904889,0.539190041431728
0.7525,855.5482643462262,0.7127903901058598
0.755,1320.432026428165,0.9853275840622439
0.7575,1915.5864608630106,1.3751231890099598
0.76,2964.7482156485326,3.5148013403176064
0.7605,2980.6301129923463,3.078933946353329
0.761,3217.4609214008133,2.9961843524862704
0.7615,3649.08839973593,3.5870357208535304
