aval,value,value_err
0.68,10.501687773441267,0.03727817763914997
0.7,19.84918033853752,0.06463368264644406
0.71,27.938923139805325,0.03532925512949742
0.72,47.48017227754952,0.10718649605327417
0.73,90.65039714642818,0.14738801928672415
0.74,238.2809108717492,0.5248170602531309
0.75,1191.2190815528031,1.6530115668216903
0.7525,2307.2609218041516,2.40750003844039
0.755,4694.204615462433,2.5997012339628087
0.7575,10281.381009005585,3.42702140239908
0.76,22628.62178372645,4.599739366061277
0.7605,25461.424974843103,7.639757118981226
0.761,30782.257335965252,8.81067635444355
0.7615,37534.39845678028,13.898668730857139
