aval,value,value_err
0.68,10.981378038917589,0.036249805335828035
0.7,19.641061416057788,0.06812939043555033
0.71,31.154807332289884,0.09118776962954361
0.72,45.91421723501507,0.13236516398107828
0.73,91.88395380590165,0.4116616548112273
0.74,246.24466606999383,1.1643628748254777
0.75,1020.0368467163827,0.9949687383679466
0.7525,1535.1536169605668,1.0062302792814846
0.755,2542.59741154137,1.9921161337486728
0.7575,4247.302406206798,2.5051773744411547
0.76,7437.0946849010215,2.761986090399614
0.7605,9118.441282206237,4.102758670842574
0.761,9697.777003377236,4.404007412712445
0.7615,11316.846785157953,5.875590326298897
