aval,value,value_err
0.68,10.825051582497238,0.051175758275222055
0.7,19.785828202827528,0.0611402592124916
0.71,29.66492421449969,0.1363987778185296
0.72,45.4804713522788,0.15203544053544282
0.73,76.67617475982875,0.37009506805251235
0.74,144.88401133706654,0.4118782145551377
0.75,362.4800377194349,0.5286194649329714
0.7525,466.0646733472689,0.7770318313244579
0.755,600.9215029205344,1.338438977064469
0.7575,797.8717565343699,0.8148294476416947
0.76,1035.942129037379,1.596034181966469
0.7605,1025.8454911396109,2.016577694154524
0.761,1155.7115012602796,3.4083211075046065
0.7615,1158.3269979275392,4.147166513759477
