aval,value,value_err
0.68,10.860381978030235,0.07099330481995056
0.7,19.56735323196828,0.0696825598794213
0.71,23.485609031152013,0.09298969773003452
0.72,38.84314214888816,0.15061568926021002
0.73,63.54580804372339,0.2662634629851816
0.74,97.23513086949025,0.21512563601727164
0.75,175.62798712660734,0.5875383262082866
0.7525,222.8015645074939,0.48133471732559535
0.755,248.78763686501878,0.5762727975450425
0.7575,324.1787247264241,0.8039981509898345
0.76,383.2903576988643,0.935832659164087
0.7605,395.1810301818846,1.3084946768203267
0.761,405.79618251190703,1.5888802399744237
0.7615,399.0184514172255,1.0644352070307332
