t_step,value
39,0.2303713638977697
40,0.2406045009139969
41,0.2271602012466719
42,0.2349472184477081
43,0.2367615542713251
44,0.2364312499995773
45,0.218822652012567
46,0.2428685979073272
47,0.2325818909000722
48,0.2347180157588385
49,0.2263151698001517
50,0.2380386667747621
51,0.2430665945266275
52,0.2281868013455794
53,0.2309632292556761
54,0.2269750380912572
55,0.2360928638836719
56,0.2369573469794349
57,0.2429226044236824
58,0.2388021225194743
59,0.2301602794405954
60,0.2363870746542209
61,0.2370572335444657
62,0.2413923395984553
63,0.2433789810347158
64,0.2351404988259223
65,0.2342231275834832
66,0.2369685094899338
67,0.2335036597875819
68,0.2441759361321895
69,0.2513589251166247
70,0.2374629208663954
71,0.2424853112761645
72,0.2343620919330632
73,0.2387913296816824
74,0.2466396604748057
75,0.2461500404780401
76,0.2345296306894158
77,0.2482075446117702
78,0.2503758755055092
79,0.234706265934967
80,0.2465985861563912
81,0.2505214653339664
82,0.2393050885823768
83,0.2482363427840626
84,0.2402316632683104
85,0.2455854801274591
86,0.2435540379866795
87,0.2505208449424562
88,0.2499306107486847
89,0.247962259158301
90,0.2492921908694484
91,0.2555631083132115
92,0.2557794905996334
93,0.2526218886961502
94,0.2551669303435521
95,0.2586851021428609
96,0.2602196767534169
97,0.2619857523088985
98,0.2552348252857224
99,0.2515203621189064
100,0.262160628351854
101,0.2632560590436974
102,0.2597926369166553
103,0.2640426038078111
104,0.2700140644809
105,0.264775073332255
106,0.2570198120289312
107,0.2531529771243578
108,0.256125916924772
109,0.2605876810155949
110,0.2616720007265039
111,0.2735928768596341
112,0.2574400112141572
113,0.2701802362042782
114,0.2622446856009733
115,0.2745631346944822
116,0.2628417976731737
117,0.2589578920909542
118,0.2833870381110874
119,0.271780710248575
120,0.2682920906172708
121,0.2600373584847389
122,0.2809727607588679
123,0.2806880155825933
124,0.2698358851241066
125,0.2842109356502191
126,0.2733648616341669
127,0.2752886521828308
128,0.2732386262018657
129,0.2763372337283741
130,0.2784287423836249
131,0.2752159906312499
132,0.2727570400156887
133,0.2920100210873037
134,0.289744000340244
135,0.2938062761719598
136,0.2858803194518602
137,0.2708093358368384
138,0.2851954092240117
139,0.2833507744298977
140,0.2931163524505963
141,0.281489544866437
142,0.2836476895636886
143,0.282078502146225
144,0.2812386684629142
145,0.2862598567752644
146,0.285807828360713
147,0.2825889723813466
148,0.2849546636104093
149,0.2909975660294842
150,0.2890922155732132
151,0.2915369646968673
152,0.2911767462313362
153,0.2961820565408301
154,0.289837415942572
155,0.3006169931592399
156,0.2956353027054647
157,0.2882901611544204
158,0.2857668105174441
159,0.2978219035629279
160,0.2893493243202082
161,0.2952654290994823
162,0.2911560194222785
163,0.2895699172722885
164,0.2912691206708793
165,0.2895140570848401
166,0.2922744993968325
167,0.2916494173904499
168,0.2904492183629924
169,0.2927706391854399
170,0.2924778000806022
171,0.2979424751841619
172,0.3030428220201943
173,0.2984079134242571
174,0.2937639484781837
175,0.3035931892098365
176,0.2880172513945375
177,0.2989954269904895
178,0.3001567573441098
179,0.302196297064196
180,0.3047997526873865
