aval,lambda,lambda_sem
0.7,-0.35193072781315166,5.4571542619677635e-05
0.71,-0.33758024899659145,5.629481828426723e-05
0.72,-0.3236045812644605,5.416143763425364e-05
0.73,-0.3099196943536111,5.3517349607934903e-05
0.74,-0.2959504799617928,0.00019358376751734438
0.75,-0.22513426193107472,0.005083261493665464
0.7525,-0.17916822351781905,0.006586353727857609
0.755,-0.11421463607695401,0.008037507600603911
0.7563,-0.05711486527071198,0.00883625190296747
0.7575,-0.010572204561823959,0.009147902785635716
0.7588,0.037650549562120716,0.009237724593522439
0.7594,0.07664660976795004,0.00926957996661031
0.76,0.08444622699939523,0.009213323795286568
0.7605,0.09937043402534212,0.009221417030844635
0.761,0.1297435920936114,0.00898653759505492
0.7615,0.13308459115650006,0.009000566165310081
0.762,0.1402546598598764,0.008978019242107439
0.7625,0.1741821340463298,0.008494263838584282
0.763,0.18423094744157922,0.008414810813016201
0.765,0.23340583339302592,0.007634577828110387
0.7675,0.28352883893524555,0.006351064929622031
0.77,0.3182683887792055,0.005148217718531325
0.78,0.375181830219936,0.001836623489938649
0.79,0.3909665543884026,0.0005510746702739311
0.8,0.3995786979209971,0.0002229966386135809
