aval,lambda,lambda_sem
0.7,-0.35200715620868,2.2533216566609588e-05
0.71,-0.3378402054945833,2.2560985622779133e-05
0.72,-0.3238598689451927,2.3398077658156573e-05
0.73,-0.31011704796754885,2.322522127659337e-05
0.74,-0.2964859074519481,2.244289104488807e-05
0.75,-0.28297885565254155,7.432180573173343e-05
0.7525,-0.273515160116809,0.0016358225075367217
0.755,-0.21357518540051235,0.005466092437543765
0.7563,-0.13223308588164806,0.007714489144223365
0.7575,-0.06491584559522406,0.008676704086823622
0.7588,0.0509433919055457,0.009298115502876682
0.7594,0.06628692746873978,0.0092859782744325
0.76,0.11648373068962024,0.0091810990204705
0.7605,0.1426048429293452,0.008937851419607214
0.761,0.1770545950673233,0.00851433150473269
0.7615,0.2034683316452481,0.008080880248585479
0.762,0.22713302987618678,0.0076845727332410475
0.7625,0.2353456065364976,0.0075858119507166925
0.763,0.26576224980160607,0.0066800981851016985
0.765,0.3185433563901587,0.00466676838720831
0.7675,0.3289392281617563,0.004491735097950027
0.77,0.35761159453916436,0.0027150637569639834
0.78,0.3831344425845198,0.00027156195074834753
0.79,0.39344356421904114,7.828501945182245e-05
0.8,0.40169071228201575,6.946188523072888e-05
