a,observations
0.74,0.0036122228383104376
0.72,0.003668855005500503
0.7625,0.2835491391875889
0.76,0.29241725926823653
0.78,0.033365366678215935
0.7525,0.07895304075044278
0.8,0.00563430373648072
0.765,0.23879191286774848
0.7575,0.23938275264638056
0.7675,0.18487683061615182
0.77,0.13984195911211558
0.73,0.003677370425534086
0.755,0.1594585567637279
0.79,0.006229254236960494
0.75,0.02260322430744816
