aval,lambda,lambda_sem
0.7,-0.3270264420869459,0.00012724572073508978
0.71,-0.3126417767839693,0.00013137196568070023
0.72,-0.29833894797391397,0.00012781439751607758
0.73,-0.28446399962978564,0.00012681871875140708
0.74,-0.2704209275552191,0.0001255699422266964
0.75,-0.25664357795830123,0.0001342034495754504
0.7525,-0.2533880560959182,0.00013592816524626305
0.755,-0.24534682792072762,0.001589130557605058
0.7575,-0.17598747404181964,0.006010426694570222
0.76,0.006508338223303387,0.009251637983963116
0.7625,0.15910256069086068,0.008858163365090287
0.765,0.2639756193112038,0.006992110798611791
0.7675,0.32829656361702125,0.004617133081173731
0.77,0.35649417425687635,0.0028680226458337454
0.78,0.38337673091143215,0.00024299877595156306
0.79,0.39347369177476543,0.00020991811217028607
0.8,0.40165758356484166,0.0001917010726853043
0.81,0.40805543049171206,0.00017454121329234587
0.82,0.4134131461336528,0.0001705722891272293
