aval,lambda,lambda_sem
0.6,-0.5113020464172606,0.00458727735113959
0.61,-0.49839840956897874,0.0038433464527526722
0.62,-0.4777250993955938,0.0031337745732376828
0.63,-0.45862841891087747,0.004359601252557108
0.64,-0.4397646996005787,0.003693438339738895
0.65,-0.4289245007115133,0.003682427251612133
0.66,-0.41104002794105676,0.0041957193388406
0.67,-0.3865091133983855,0.004055853694669849
0.68,-0.37493742507413225,0.004272713879984928
0.69,-0.36199963096208193,0.0043905415532077404
0.7,-0.33112712332451444,0.013242086505895275
0.71,-0.29901174467080405,0.018621428270461492
0.72,-0.186463928927687,0.03160533206254521
0.73,0.048714505378815255,0.04020550006470066
0.74,0.1605603467822351,0.036100535184305525
0.75,0.31000817960185756,0.022447782835627223
0.76,0.35640915271586154,0.01117979755016349
0.77,0.3868122133729032,0.010675672858203873
0.78,0.38749794822021244,0.010175102318664456
0.79,0.40043790142301944,0.006706912715428846
0.8,0.40968200766064666,0.006576626876751686
