aval,lambda,lambda_sem
0.6,-0.1633448231847285,6.358812673172892e-6
0.62,-0.12956559352885938,8.490114317607367e-6
0.64,-0.09685231302784894,1.1385054654086373e-5
0.66,-0.06511029603125282,1.0201478321893369e-5
0.68,-0.034372773639890795,1.3485086966430956e-5
0.7,0.004977834715951692,0.000857199966476103
0.72,0.008846088102946854,0.0015495745883123133
0.74,0.0569065229680881,0.003953380834641051
0.76,0.17493678192751572,0.003704321641133319
0.78,0.22587409198733688,0.002354478153165647
0.8,0.258920537724674,0.00188921655966953
0.82,0.2724133772482897,0.0017480235039941487
0.84,0.2886043149468529,0.0016648580398256729
0.86,0.29955186298951103,0.001814648071967822
0.88,0.3027340704136345,0.0017654286351099949
0.9,0.3052983426418202,0.001914413744697372
0.92,0.2871769615555597,0.0019196191516200924
0.94,0.21965224712176337,0.0021089374885220813
0.96,0.1078982536432365,0.0012523358613288637
0.98,0.06578537988048688,0.0006074745999519548
1.0,0.058168098148357,0.0005077625638937988
