aval,lambda,lambda_sem
0.3,-0.8688734775338229,2.807575148165088e-6
0.32,-0.8029933198386464,3.689158455436155e-6
0.34,-0.7411048803627021,2.935623451308551e-6
0.36,-0.6827605638881133,4.1021417317763116e-6
0.38,-0.6275594556314424,2.652556939553086e-6
0.4,-0.5752017188565757,3.608984334665514e-6
0.42,-0.5253897899322547,2.7641431216758768e-6
0.44,-0.4779173538365346,1.1934624425031561e-5
0.46,-0.432525748505323,5.413771213261439e-6
0.48,-0.3891185448763935,3.1374421415056464e-5
0.5,-0.3474892753028752,6.406307106305769e-5
0.52,-0.3073862432864919,2.1504794760880255e-5
0.54,-0.2688470193217822,1.0645947574075434e-5
0.56,-0.23174873353613057,2.6072975583332808e-5
0.58,-0.19591468147329644,1.5402742662477145e-5
0.6,-0.1613016569980082,1.017924917951255e-5
0.62,-0.12783567311597785,1.411928254602264e-5
0.64,-0.09540440074401865,5.434816911661169e-6
0.66,-0.06399125910512872,9.53281661997099e-6
0.68,-0.03355410592662908,1.1622136786165582e-5
0.7,-0.001225891518879772,0.004381672816293117
0.72,0.007700202882299882,0.012192500052208934
0.74,0.013584475028118386,0.008761035459842074
0.76,0.12010789569323929,0.035275055652679216
0.78,0.2301586878945896,0.014014524210676749
0.8,0.2435444654751414,0.007063410521597778
0.82,0.29280681658981045,0.015649260764876872
0.84,0.2973698526208178,0.006069292239209717
0.86,0.2925292644110053,0.011373282013259076
0.88,0.3035452132629509,0.012742998593757592
0.9,0.2973551668674881,0.007934160447359312
0.92,0.31442234191935226,0.015890796474039633
0.94,0.27034478366667286,0.00953033935279697
0.96,0.1596982694386211,0.01080189790277751
0.98,0.07658026093769482,0.004619232072943497
1.0,0.0581355603671259,0.002449265690955077
