N_val: 2
N_val: 2 | a_val: 0.6
      From worker 21:	N_val: 2 | a_val: 0.6 | IC: 192 / 500
      From worker 8:	N_val: 2 | a_val: 0.6 | IC: 62 / 500
      From worker 50:	N_val: 2 | a_val: 0.6 | IC: 482 / 500
      From worker 4:	N_val: 2 | a_val: 0.6 | IC: 22 / 500
      From worker 51:	N_val: 2 | a_val: 0.6 | IC: 492 / 500
      From worker 7:	N_val: 2 | a_val: 0.6 | IC: 52 / 500
      From worker 23:	N_val: 2 | a_val: 0.6 | IC: 212 / 500
      From worker 26:	N_val: 2 | a_val: 0.6 | IC: 242 / 500
      From worker 39:	N_val: 2 | a_val: 0.6 | IC: 372 / 500
      From worker 35:	N_val: 2 | a_val: 0.6 | IC: 332 / 500
      From worker 48:	N_val: 2 | a_val: 0.6 | IC: 462 / 500
      From worker 38:	N_val: 2 | a_val: 0.6 | IC: 362 / 500
      From worker 22:	N_val: 2 | a_val: 0.6 | IC: 203 / 500
      From worker 31:	N_val: 2 | a_val: 0.6 | IC: 293 / 500
      From worker 12:	N_val: 2 | a_val: 0.6 | IC: 103 / 500
      From worker 43:	N_val: 2 | a_val: 0.6 | IC: 413 / 500
      From worker 24:	N_val: 2 | a_val: 0.6 | IC: 223 / 500
      From worker 15:	N_val: 2 | a_val: 0.6 | IC: 133 / 500
      From worker 19:	N_val: 2 | a_val: 0.6 | IC: 173 / 500
      From worker 44:	N_val: 2 | a_val: 0.6 | IC: 423 / 500
      From worker 25:	N_val: 2 | a_val: 0.6 | IC: 233 / 500
      From worker 36:	N_val: 2 | a_val: 0.6 | IC: 343 / 500
      From worker 28:	N_val: 2 | a_val: 0.6 | IC: 263 / 500
      From worker 6:	N_val: 2 | a_val: 0.6 | IC: 43 / 500
      From worker 49:	N_val: 2 | a_val: 0.6 | IC: 473 / 500
      From worker 47:	N_val: 2 | a_val: 0.6 | IC: 453 / 500
      From worker 29:	N_val: 2 | a_val: 0.6 | IC: 273 / 500
      From worker 33:	N_val: 2 | a_val: 0.6 | IC: 313 / 500
      From worker 30:	N_val: 2 | a_val: 0.6 | IC: 283 / 500
      From worker 41:	N_val: 2 | a_val: 0.6 | IC: 393 / 500
      From worker 27:	N_val: 2 | a_val: 0.6 | IC: 253 / 500
      From worker 17:	N_val: 2 | a_val: 0.6 | IC: 153 / 500
      From worker 37:	N_val: 2 | a_val: 0.6 | IC: 353 / 500
      From worker 7:	N_val: 2 | a_val: 0.6 | IC: 53 / 500
      From worker 13:	N_val: 2 | a_val: 0.6 | IC: 113 / 500
      From worker 10:	N_val: 2 | a_val: 0.6 | IC: 83 / 500
      From worker 4:	N_val: 2 | a_val: 0.6 | IC: 23 / 500
      From worker 51:	N_val: 2 | a_val: 0.6 | IC: 493 / 500
      From worker 46:	N_val: 2 | a_val: 0.6 | IC: 443 / 500
      From worker 2:	N_val: 2 | a_val: 0.6 | IC: 3 / 500
      From worker 45:	N_val: 2 | a_val: 0.6 | IC: 433 / 500
      From worker 40:	N_val: 2 | a_val: 0.6 | IC: 383 / 500
      From worker 11:	N_val: 2 | a_val: 0.6 | IC: 93 / 500
      From worker 5:	N_val: 2 | a_val: 0.6 | IC: 33 / 500
      From worker 34:	N_val: 2 | a_val: 0.6 | IC: 323 / 500
      From worker 20:	N_val: 2 | a_val: 0.6 | IC: 183 / 500
      From worker 32:	N_val: 2 | a_val: 0.6 | IC: 303 / 500
      From worker 21:	N_val: 2 | a_val: 0.6 | IC: 193 / 500
      From worker 50:	N_val: 2 | a_val: 0.6 | IC: 483 / 500
      From worker 16:	N_val: 2 | a_val: 0.6 | IC: 143 / 500
      From worker 42:	N_val: 2 | a_val: 0.6 | IC: 403 / 500
      From worker 8:	N_val: 2 | a_val: 0.6 | IC: 63 / 500
      From worker 18:	N_val: 2 | a_val: 0.6 | IC: 163 / 500
      From worker 14:	N_val: 2 | a_val: 0.6 | IC: 123 / 500
      From worker 23:	N_val: 2 | a_val: 0.6 | IC: 213 / 500
      From worker 9:	N_val: 2 | a_val: 0.6 | IC: 73 / 500
      From worker 35:	N_val: 2 | a_val: 0.6 | IC: 333 / 500
      From worker 26:	N_val: 2 | a_val: 0.6 | IC: 243 / 500
      From worker 3:	N_val: 2 | a_val: 0.6 | IC: 13 / 500
      From worker 39:	N_val: 2 | a_val: 0.6 | IC: 373 / 500
      From worker 48:	N_val: 2 | a_val: 0.6 | IC: 463 / 500
      From worker 38:	N_val: 2 | a_val: 0.6 | IC: 363 / 500
      From worker 31:	N_val: 2 | a_val: 0.6 | IC: 294 / 500
      From worker 22:	N_val: 2 | a_val: 0.6 | IC: 204 / 500
      From worker 12:	N_val: 2 | a_val: 0.6 | IC: 104 / 500
      From worker 19:	N_val: 2 | a_val: 0.6 | IC: 174 / 500
      From worker 43:	N_val: 2 | a_val: 0.6 | IC: 414 / 500
      From worker 24:	N_val: 2 | a_val: 0.6 | IC: 224 / 500
      From worker 44:	N_val: 2 | a_val: 0.6 | IC: 424 / 500
      From worker 47:	N_val: 2 | a_val: 0.6 | IC: 454 / 500
      From worker 28:	N_val: 2 | a_val: 0.6 | IC: 264 / 500
      From worker 33:	N_val: 2 | a_val: 0.6 | IC: 314 / 500
      From worker 49:	N_val: 2 | a_val: 0.6 | IC: 474 / 500
      From worker 6:	N_val: 2 | a_val: 0.6 | IC: 44 / 500
      From worker 25:	N_val: 2 | a_val: 0.6 | IC: 234 / 500
      From worker 15:	N_val: 2 | a_val: 0.6 | IC: 134 / 500
      From worker 30:	N_val: 2 | a_val: 0.6 | IC: 284 / 500
      From worker 36:	N_val: 2 | a_val: 0.6 | IC: 344 / 500
      From worker 27:	N_val: 2 | a_val: 0.6 | IC: 254 / 500
      From worker 29:	N_val: 2 | a_val: 0.6 | IC: 274 / 500
      From worker 41:	N_val: 2 | a_val: 0.6 | IC: 394 / 500
      From worker 7:	N_val: 2 | a_val: 0.6 | IC: 54 / 500
      From worker 37:	N_val: 2 | a_val: 0.6 | IC: 354 / 500
      From worker 5:	N_val: 2 | a_val: 0.6 | IC: 34 / 500
      From worker 17:	N_val: 2 | a_val: 0.6 | IC: 154 / 500
      From worker 11:	N_val: 2 | a_val: 0.6 | IC: 94 / 500
      From worker 2:	N_val: 2 | a_val: 0.6 | IC: 4 / 500
      From worker 51:	N_val: 2 | a_val: 0.6 | IC: 494 / 500
      From worker 13:	N_val: 2 | a_val: 0.6 | IC: 114 / 500
      From worker 40:	N_val: 2 | a_val: 0.6 | IC: 384 / 500
      From worker 20:	N_val: 2 | a_val: 0.6 | IC: 184 / 500
      From worker 34:	N_val: 2 | a_val: 0.6 | IC: 324 / 500
      From worker 46:	N_val: 2 | a_val: 0.6 | IC: 444 / 500
      From worker 10:	N_val: 2 | a_val: 0.6 | IC: 84 / 500
      From worker 4:	N_val: 2 | a_val: 0.6 | IC: 24 / 500
      From worker 45:	N_val: 2 | a_val: 0.6 | IC: 434 / 500
      From worker 21:	N_val: 2 | a_val: 0.6 | IC: 194 / 500
      From worker 3:	N_val: 2 | a_val: 0.6 | IC: 14 / 500
      From worker 42:	N_val: 2 | a_val: 0.6 | IC: 404 / 500
      From worker 32:	N_val: 2 | a_val: 0.6 | IC: 304 / 500
      From worker 35:	N_val: 2 | a_val: 0.6 | IC: 334 / 500
      From worker 8:	N_val: 2 | a_val: 0.6 | IC: 64 / 500
      From worker 48:	N_val: 2 | a_val: 0.6 | IC: 464 / 500
      From worker 14:	N_val: 2 | a_val: 0.6 | IC: 124 / 500
      From worker 26:	N_val: 2 | a_val: 0.6 | IC: 244 / 500
      From worker 50:	N_val: 2 | a_val: 0.6 | IC: 484 / 500
      From worker 18:	N_val: 2 | a_val: 0.6 | IC: 164 / 500
      From worker 23:	N_val: 2 | a_val: 0.6 | IC: 214 / 500
      From worker 39:	N_val: 2 | a_val: 0.6 | IC: 374 / 500
      From worker 9:	N_val: 2 | a_val: 0.6 | IC: 74 / 500
      From worker 16:	N_val: 2 | a_val: 0.6 | IC: 144 / 500
      From worker 38:	N_val: 2 | a_val: 0.6 | IC: 364 / 500
      From worker 31:	N_val: 2 | a_val: 0.6 | IC: 295 / 500
      From worker 12:	N_val: 2 | a_val: 0.6 | IC: 105 / 500
      From worker 22:	N_val: 2 | a_val: 0.6 | IC: 205 / 500
      From worker 47:	N_val: 2 | a_val: 0.6 | IC: 455 / 500
      From worker 44:	N_val: 2 | a_val: 0.6 | IC: 425 / 500
      From worker 43:	N_val: 2 | a_val: 0.6 | IC: 415 / 500
      From worker 24:	N_val: 2 | a_val: 0.6 | IC: 225 / 500
      From worker 19:	N_val: 2 | a_val: 0.6 | IC: 175 / 500
      From worker 33:	N_val: 2 | a_val: 0.6 | IC: 315 / 500
      From worker 49:	N_val: 2 | a_val: 0.6 | IC: 475 / 500
      From worker 28:	N_val: 2 | a_val: 0.6 | IC: 265 / 500
      From worker 6:	N_val: 2 | a_val: 0.6 | IC: 45 / 500
      From worker 15:	N_val: 2 | a_val: 0.6 | IC: 135 / 500
      From worker 25:	N_val: 2 | a_val: 0.6 | IC: 235 / 500
      From worker 27:	N_val: 2 | a_val: 0.6 | IC: 255 / 500
      From worker 29:	N_val: 2 | a_val: 0.6 | IC: 275 / 500
      From worker 30:	N_val: 2 | a_val: 0.6 | IC: 285 / 500
      From worker 36:	N_val: 2 | a_val: 0.6 | IC: 345 / 500
      From worker 7:	N_val: 2 | a_val: 0.6 | IC: 55 / 500
      From worker 41:	N_val: 2 | a_val: 0.6 | IC: 395 / 500
      From worker 5:	N_val: 2 | a_val: 0.6 | IC: 35 / 500
      From worker 4:	N_val: 2 | a_val: 0.6 | IC: 25 / 500
      From worker 37:	N_val: 2 | a_val: 0.6 | IC: 355 / 500
      From worker 2:	N_val: 2 | a_val: 0.6 | IC: 5 / 500
      From worker 17:	N_val: 2 | a_val: 0.6 | IC: 155 / 500
      From worker 51:	N_val: 2 | a_val: 0.6 | IC: 495 / 500
      From worker 10:	N_val: 2 | a_val: 0.6 | IC: 85 / 500
      From worker 40:	N_val: 2 | a_val: 0.6 | IC: 385 / 500
      From worker 11:	N_val: 2 | a_val: 0.6 | IC: 95 / 500
      From worker 13:	N_val: 2 | a_val: 0.6 | IC: 115 / 500
      From worker 46:	N_val: 2 | a_val: 0.6 | IC: 445 / 500
      From worker 34:	N_val: 2 | a_val: 0.6 | IC: 325 / 500
      From worker 20:	N_val: 2 | a_val: 0.6 | IC: 185 / 500
      From worker 45:	N_val: 2 | a_val: 0.6 | IC: 435 / 500
      From worker 14:	N_val: 2 | a_val: 0.6 | IC: 125 / 500
      From worker 21:	N_val: 2 | a_val: 0.6 | IC: 195 / 500
      From worker 42:	N_val: 2 | a_val: 0.6 | IC: 405 / 500
      From worker 32:	N_val: 2 | a_val: 0.6 | IC: 305 / 500
      From worker 3:	N_val: 2 | a_val: 0.6 | IC: 15 / 500
      From worker 26:	N_val: 2 | a_val: 0.6 | IC: 245 / 500
      From worker 50:	N_val: 2 | a_val: 0.6 | IC: 485 / 500
      From worker 8:	N_val: 2 | a_val: 0.6 | IC: 65 / 500
      From worker 18:	N_val: 2 | a_val: 0.6 | IC: 165 / 500
      From worker 48:	N_val: 2 | a_val: 0.6 | IC: 465 / 500
      From worker 35:	N_val: 2 | a_val: 0.6 | IC: 335 / 500
      From worker 39:	N_val: 2 | a_val: 0.6 | IC: 375 / 500
      From worker 38:	N_val: 2 | a_val: 0.6 | IC: 365 / 500
      From worker 23:	N_val: 2 | a_val: 0.6 | IC: 215 / 500
      From worker 16:	N_val: 2 | a_val: 0.6 | IC: 145 / 500
      From worker 9:	N_val: 2 | a_val: 0.6 | IC: 75 / 500
      From worker 22:	N_val: 2 | a_val: 0.6 | IC: 206 / 500
      From worker 31:	N_val: 2 | a_val: 0.6 | IC: 296 / 500
      From worker 12:	N_val: 2 | a_val: 0.6 | IC: 106 / 500
      From worker 24:	N_val: 2 | a_val: 0.6 | IC: 226 / 500
      From worker 47:	N_val: 2 | a_val: 0.6 | IC: 456 / 500
      From worker 44:	N_val: 2 | a_val: 0.6 | IC: 426 / 500
      From worker 19:	N_val: 2 | a_val: 0.6 | IC: 176 / 500
      From worker 33:	N_val: 2 | a_val: 0.6 | IC: 316 / 500
      From worker 43:	N_val: 2 | a_val: 0.6 | IC: 416 / 500
      From worker 28:	N_val: 2 | a_val: 0.6 | IC: 266 / 500
      From worker 6:	N_val: 2 | a_val: 0.6 | IC: 46 / 500
      From worker 49:	N_val: 2 | a_val: 0.6 | IC: 476 / 500
      From worker 25:	N_val: 2 | a_val: 0.6 | IC: 236 / 500
      From worker 15:	N_val: 2 | a_val: 0.6 | IC: 136 / 500
      From worker 29:	N_val: 2 | a_val: 0.6 | IC: 276 / 500
      From worker 30:	N_val: 2 | a_val: 0.6 | IC: 286 / 500
      From worker 27:	N_val: 2 | a_val: 0.6 | IC: 256 / 500
      From worker 41:	N_val: 2 | a_val: 0.6 | IC: 396 / 500
      From worker 36:	N_val: 2 | a_val: 0.6 | IC: 346 / 500
      From worker 7:	N_val: 2 | a_val: 0.6 | IC: 56 / 500
      From worker 5:	N_val: 2 | a_val: 0.6 | IC: 36 / 500
      From worker 45:	N_val: 2 | a_val: 0.6 | IC: 436 / 500
      From worker 2:	N_val: 2 | a_val: 0.6 | IC: 6 / 500
      From worker 4:	N_val: 2 | a_val: 0.6 | IC: 26 / 500
      From worker 37:	N_val: 2 | a_val: 0.6 | IC: 356 / 500
      From worker 13:	N_val: 2 | a_val: 0.6 | IC: 116 / 500
      From worker 51:	N_val: 2 | a_val: 0.6 | IC: 496 / 500
      From worker 11:	N_val: 2 | a_val: 0.6 | IC: 96 / 500
      From worker 10:	N_val: 2 | a_val: 0.6 | IC: 86 / 500
      From worker 40:	N_val: 2 | a_val: 0.6 | IC: 386 / 500
      From worker 17:	N_val: 2 | a_val: 0.6 | IC: 156 / 500
      From worker 34:	N_val: 2 | a_val: 0.6 | IC: 326 / 500
      From worker 21:	N_val: 2 | a_val: 0.6 | IC: 196 / 500
      From worker 35:	N_val: 2 | a_val: 0.6 | IC: 336 / 500
      From worker 20:	N_val: 2 | a_val: 0.6 | IC: 186 / 500
      From worker 46:	N_val: 2 | a_val: 0.6 | IC: 446 / 500
      From worker 32:	N_val: 2 | a_val: 0.6 | IC: 306 / 500
      From worker 50:	N_val: 2 | a_val: 0.6 | IC: 486 / 500
      From worker 42:	N_val: 2 | a_val: 0.6 | IC: 406 / 500
      From worker 14:	N_val: 2 | a_val: 0.6 | IC: 126 / 500
      From worker 26:	N_val: 2 | a_val: 0.6 | IC: 246 / 500
      From worker 16:	N_val: 2 | a_val: 0.6 | IC: 146 / 500
      From worker 31:	N_val: 2 | a_val: 0.6 | IC: 297 / 500
      From worker 3:	N_val: 2 | a_val: 0.6 | IC: 16 / 500
      From worker 48:	N_val: 2 | a_val: 0.6 | IC: 466 / 500
      From worker 8:	N_val: 2 | a_val: 0.6 | IC: 66 / 500
      From worker 23:	N_val: 2 | a_val: 0.6 | IC: 216 / 500
      From worker 18:	N_val: 2 | a_val: 0.6 | IC: 166 / 500
      From worker 12:	N_val: 2 | a_val: 0.6 | IC: 107 / 500
      From worker 22:	N_val: 2 | a_val: 0.6 | IC: 207 / 500
      From worker 39:	N_val: 2 | a_val: 0.6 | IC: 376 / 500
      From worker 38:	N_val: 2 | a_val: 0.6 | IC: 366 / 500
      From worker 24:	N_val: 2 | a_val: 0.6 | IC: 227 / 500
      From worker 9:	N_val: 2 | a_val: 0.6 | IC: 76 / 500
      From worker 47:	N_val: 2 | a_val: 0.6 | IC: 457 / 500
      From worker 19:	N_val: 2 | a_val: 0.6 | IC: 177 / 500
      From worker 43:	N_val: 2 | a_val: 0.6 | IC: 417 / 500
      From worker 44:	N_val: 2 | a_val: 0.6 | IC: 427 / 500
      From worker 33:	N_val: 2 | a_val: 0.6 | IC: 317 / 500
      From worker 49:	N_val: 2 | a_val: 0.6 | IC: 477 / 500
