L_val: 1024 | a_val: 0.7525 | IC: 248 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 624 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1216 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1160 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 711 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1351 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 472 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 672 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 504 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 416 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1696 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1487 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1664 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 151 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1144 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1208 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 56 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1312 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1352 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1504 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 199 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1072 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1512 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 936 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 832 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1168 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1279 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 952 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 192 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1103 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 744 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 288 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1495 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 920 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 480 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 440 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1656 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 160 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1368 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1120 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 712 / 2000
