aval,lambda,lambda_sem
0.6,-0.48385109151477634,0.0002155037496978447
0.61,-0.4670163206403994,0.00021860054987935386
0.62,-0.4502311848749906,0.0002284404893970299
0.63,-0.43405434644630086,0.00021934463780327865
0.64,-0.4178816252897182,0.00021847803437924094
0.65,-0.40255187412453697,0.0002276381975892789
0.66,-0.3871869912495139,0.00022720796840509168
0.67,-0.3714874771138054,0.0002265218042198625
0.68,-0.35667265183959934,0.00022771662084986353
0.69,-0.3416632137074445,0.0002248875179214653
0.7,-0.3265666568149471,0.00022683952186460112
0.71,-0.3131097898535157,0.00022398475249286144
0.72,-0.29867749413736694,0.0002264638796573032
0.73,-0.2839888154778214,0.0002280896675820565
0.74,-0.2705158010324395,0.00023550680394697428
0.75,-0.2414667643517871,0.002869064174196419
0.7525,-0.19569711954953772,0.005383514321750913
0.755,-0.13547681210986331,0.007228444467034681
0.7575,-0.058968682243924375,0.008633822883780817
0.76,0.017541915789230204,0.009233337958439827
0.7625,0.11483435976611055,0.009097697426928383
0.765,0.204732235661279,0.008200707595385028
0.7675,0.24038044573935397,0.007593273417678259
0.77,0.29774881287622423,0.006049881084808393
0.78,0.3697926829059635,0.0025773061531342042
0.79,0.3892081116077004,0.0011186517224638568
0.8,0.3992102440376378,0.0004006756271490448
0.81,0.4059333772175761,0.0003867132752145214
0.82,0.41157388974900816,0.00035372920111471115
0.83,0.4160668440565946,0.00034493841569696273
0.84,0.4207177716184846,0.00032775551523699483
0.85,0.42406919345400573,0.00031831132630278535
