aval,lambda,lambda_sem
0.6,-0.4837020405673038,0.00036948679592794544
0.61,-0.4673388331675175,0.0003765884995280377
0.62,-0.45034299595348154,0.0003849608711393849
0.63,-0.43432487154191685,0.0003726840008004465
0.64,-0.41859632942580954,0.0003720588426325887
0.65,-0.4024714056217734,0.00038635484480653836
0.66,-0.3872071900556481,0.0003847981952719187
0.67,-0.3722357710354403,0.00039546262755161854
0.68,-0.35689254773603146,0.00038402142313447073
0.69,-0.34174529997700065,0.0003818245126929872
0.7,-0.326756243899006,0.00038604543286129635
0.71,-0.3128989789251693,0.0003856838252049521
0.72,-0.29903877556678576,0.00038304277942852877
0.73,-0.2841302102018198,0.00039668500976154246
0.74,-0.27052422016408906,0.00039110724317487403
0.75,-0.24389794115255506,0.002729843486621393
0.7525,-0.20130272235622307,0.005239377940018207
0.755,-0.14321565805611075,0.007138002046528903
0.7575,-0.06334042853633402,0.008639008284543413
0.76,0.01131846557975133,0.009270943073737572
0.7625,0.10809735481404335,0.009274523606091704
0.765,0.19956196231229203,0.008346633100492567
0.7675,0.23744395066133006,0.007693103040536128
0.77,0.29577675924672836,0.006177589165813762
0.78,0.36907365223352423,0.0027029168005869653
0.79,0.39103712109458344,0.0012708228476768235
0.8,0.399896520406418,0.0006874652235964028
0.81,0.40588855443658595,0.0006854916211379217
0.82,0.4119842674890834,0.0006225101635115271
0.83,0.41636262951809394,0.0006048640766940354
0.84,0.4204121273436937,0.0005814685089776465
0.85,0.42428861529873496,0.0005686076769198149
