aval,lambda,lambda_sem
0.6,-0.4836405838721,7.509573027046832e-5
0.61,-0.4669449060268181,7.632534816610379e-5
0.62,-0.45026142060698815,7.724785004186677e-5
0.63,-0.4341757863834736,7.85925907894014e-5
0.64,-0.41803858376565856,7.807728340187928e-5
0.65,-0.4023299364759224,7.934101978415665e-5
0.66,-0.3869344876783999,8.000520672660196e-5
0.67,-0.3717012305173873,8.125861276573078e-5
0.68,-0.3565657050546474,8.056172894375467e-5
0.69,-0.3418665910130963,8.027445222024368e-5
0.7,-0.3269730682059786,7.957258647352053e-5
0.71,-0.31283559361470714,7.766550476973912e-5
0.72,-0.2984376600236463,8.259426277646444e-5
0.73,-0.2840732387543982,0.00014209126135523905
0.74,-0.26327087961928736,0.0009940068259401027
0.75,-0.1577479400230867,0.00481390452797358
0.7525,-0.09112729264558492,0.006327582982642722
0.755,-0.02467343292936585,0.007293960627125846
0.7575,0.05217991018709882,0.007719029204730663
0.76,0.11715673546047324,0.007697656909319432
0.7625,0.19329910816253304,0.007244083538843121
0.765,0.2563009025243306,0.006236516565845524
0.7675,0.28133414996709083,0.005730654104532649
0.77,0.3227210007986441,0.004412719877225862
0.78,0.37275636621015784,0.0019601417916543617
0.79,0.3895989382054362,0.0008370899426305312
0.8,0.39962777843565955,0.00012979779466365223
0.81,0.40589146892560585,0.00011885441371617868
0.82,0.4118044062258561,0.00011454013771132299
0.83,0.41662857415307836,0.00010994055198277899
0.84,0.420739882790681,0.00010596458649696077
0.85,0.42435310378087926,0.00010261292345202104
