aval,lambda,lambda_sem
0.6,-0.48375934532769205,0.00018196307927785394
0.61,-0.467005370611358,0.00019047599031914023
0.62,-0.4501576797514072,0.00019052384929373986
0.63,-0.4341080473338688,0.00019188408336024535
0.64,-0.41782571230987287,0.00018443424909541024
0.65,-0.40256879966702896,0.0001967304582064569
0.66,-0.387199142124672,0.00019417786900298719
0.67,-0.371516435397452,0.00019387162288591952
0.68,-0.3565994721281925,0.00019680719438613695
0.69,-0.34156072919362557,0.00019392127534363388
0.7,-0.32666665134146844,0.0001922425621014826
0.71,-0.31300352573950213,0.00019849265612344196
0.72,-0.2986518257989352,0.00019501996025131544
0.73,-0.28397348556278845,0.00019255529853309778
0.74,-0.2704929171397512,0.00019715546163460518
0.75,-0.24000423004818594,0.0029374769352188317
0.7525,-0.19219813192979335,0.005471374760650571
0.755,-0.131576992340442,0.007278950176389271
0.7575,-0.05559968440737763,0.008625957913684208
0.76,0.02059764480012857,0.009207097501127094
0.7625,0.11964225949490281,0.009014240459717701
0.765,0.20704854695838326,0.008138630977054013
0.7675,0.24218472897613055,0.0075250771478793345
0.77,0.29899073419047995,0.005959571189998437
0.78,0.3698580834332929,0.0025594347194605833
0.79,0.3892325185439656,0.0010922028657037095
0.8,0.3992777634456148,0.00033895714836179017
0.81,0.4056710974050286,0.0003094196693261588
0.82,0.41164868105804137,0.00029957359938322955
0.83,0.41621253245535156,0.00028450335492549445
0.84,0.42044973707128225,0.00027103472677462146
0.85,0.42423147163953756,0.00025951608200786453
