aval,lambda,lambda_sem
0.6,-0.511407544573434,0.0008995487783750837
0.61,-0.49237009759433537,0.0008882189699507671
0.62,-0.476779976088788,0.0008797949826353118
0.63,-0.45968675392627295,0.0009113251472039957
0.64,-0.4416624665000163,0.0008982373353858651
0.65,-0.4255547249094477,0.0009189683090034496
0.66,-0.4082965333667602,0.0009172347103625249
0.67,-0.3914256894885855,0.0009563487793752157
0.68,-0.37377797261733764,0.00109813341424137
0.69,-0.3582252594074435,0.0013085739799368844
0.7,-0.3311681293416908,0.0025455950813645374
0.71,-0.2739388973208704,0.004919915721039349
0.72,-0.16550844137328877,0.007677455469555164
0.73,0.019150435395025665,0.009288302332434157
0.74,0.16701420362278752,0.008443101638958688
0.75,0.297460869133399,0.005956400040697145
0.76,0.35541928829998265,0.003935805675236318
0.77,0.38286281060875177,0.002642657253151136
0.78,0.39956319772362053,0.001905882750754741
0.79,0.41110026407334915,0.0018755221609118456
0.8,0.4209319976089481,0.0016802801477086816
0.81,0.42929729017124113,0.0015328827989876627
0.82,0.4335410177885374,0.001565653286316249
0.83,0.4388512283401385,0.0014396849936526696
0.84,0.44683959707781845,0.0014614886033638092
0.85,0.44840795472743683,0.0013888705578690528
