aval,lambda,lambda_sem
0.6,-0.4836410905796311,8.928027153076594e-5
0.61,-0.467010571120091,8.957538578777789e-5
0.62,-0.4502283136177132,9.271275157344541e-5
0.63,-0.43412521824099115,9.28245881129177e-5
0.64,-0.41801769900130953,8.889988111255674e-5
0.65,-0.4024134655528063,9.538152117015341e-5
0.66,-0.3869601413361214,9.140558171894055e-5
0.67,-0.3717027935909077,9.467349918110344e-5
0.68,-0.35660004065540285,9.433535589741035e-5
0.69,-0.3418189974415456,9.682805142515695e-5
0.7,-0.3269823783668077,9.243684802320517e-5
0.71,-0.3128468569803124,9.045486587006621e-5
0.72,-0.2984765530533352,9.641380880008817e-5
0.73,-0.28428869734320267,9.339269510031094e-5
0.74,-0.26906075307624244,0.000464802083992728
0.75,-0.20028719793336844,0.004300585750778742
0.7525,-0.13817809556721922,0.006223712956117081
0.755,-0.06999872611298642,0.007522176969848376
0.7575,0.009859372783699314,0.008240330184113897
0.76,0.07936882249132696,0.008457898279671692
0.7625,0.16801962401806492,0.007998692075161169
0.765,0.2384347339777623,0.007012504871435388
0.7675,0.2676766733916869,0.0064382891981460315
0.77,0.3146206796602495,0.005030217146520233
0.78,0.37156270199799224,0.0022220518844984286
0.79,0.38918342317648263,0.0009569187577696124
0.8,0.39956073439764034,0.0001532906862959057
0.81,0.4058303457451929,0.0001372001508215975
0.82,0.41171764970258024,0.00013298573464198653
0.83,0.4166229060442758,0.00012910875961732294
0.84,0.4206649861403575,0.0001247518287134742
0.85,0.42440005504698963,0.000122466627290238
