aval,lambda,lambda_sem
0.6,-0.4836997581409307,8.091085216532932e-5
0.61,-0.46686589634603515,7.744316880574954e-5
0.62,-0.4504908042569529,7.647731382503426e-5
0.63,-0.43421809792600174,7.784729938403966e-5
0.64,-0.41814474398443224,8.129181378260454e-5
0.65,-0.4024921766198474,7.73165500845216e-5
0.66,-0.3869280338864492,8.126157065523234e-5
0.67,-0.3715799766140455,7.937684909145183e-5
0.68,-0.35650293789646653,7.736116733042807e-5
0.69,-0.34161875865658714,8.061519845806099e-5
0.7,-0.3271107743565293,7.978147804475194e-5
0.71,-0.312664645012107,8.017826121060862e-5
0.72,-0.2983896209876082,8.144468073320968e-5
0.73,-0.2842897664055716,8.126248937617712e-5
0.74,-0.270408514598948,7.886083570621276e-5
0.75,-0.254432751336626,0.0009286873589655611
0.7525,-0.23611460757409572,0.002784698333227415
0.755,-0.1904435674185381,0.005280321350325068
0.7575,-0.09864594675454802,0.007708435255930335
0.76,0.047746932711421004,0.009103330926098363
0.7625,0.15145332131479558,0.00871521742502553
0.765,0.24468796737680382,0.00728121503577566
0.7675,0.3044762513268652,0.005520453734238555
0.77,0.33622580675972213,0.004210983303299891
0.78,0.38084541779979214,0.0009366343181138531
0.79,0.39268017410292566,0.00013875231988478502
0.8,0.40068996727051437,0.00011914785673936512
0.81,0.407419732786587,0.00011224689325049726
0.82,0.4130776745402656,0.00010739538891676397
0.83,0.41797641508172956,0.00010209359877175562
0.84,0.421909920619059,9.07600954533667e-5
0.85,0.4255456451721379,9.585833706462795e-5
