aval,lambda,lambda_sem
0.6,-0.4836947700836494,5.687814301053965e-5
0.61,-0.46687132111460383,5.635359458920184e-5
0.62,-0.4504524807030043,5.215877131620547e-5
0.63,-0.4342479512519787,5.557958594304712e-5
0.64,-0.41809982673800794,5.724277194932334e-5
0.65,-0.40246250582329784,5.599009658140179e-5
0.66,-0.3869220057627059,5.6424946851059086e-5
0.67,-0.37161167326443056,5.579251205391685e-5
0.68,-0.3565651511773761,5.5980451510373336e-5
0.69,-0.3417202892463786,5.6555535541773705e-5
0.7,-0.32704419855718986,5.580936633352579e-5
0.71,-0.3126825746614094,5.677034896958174e-5
0.72,-0.2983499681322633,5.69324104937184e-5
0.73,-0.2843047989919271,5.706858868710037e-5
0.74,-0.2703772208069732,5.823143135298891e-5
0.75,-0.2495962201875825,0.0014712533007278014
0.7525,-0.22112010366865426,0.003442641658968004
0.755,-0.1615066966219225,0.005735163583040326
0.7575,-0.061556442544744426,0.007794246904487177
0.76,0.08129283687065299,0.008625964603736134
0.7625,0.1776358783506444,0.008004786230263614
0.765,0.25952989551105765,0.006663549364491016
0.7675,0.31293098171066447,0.005015408922257324
0.77,0.3411590842716036,0.003737222030603631
0.78,0.3809733893358062,0.0008716141973936979
0.79,0.39276900057436315,9.32644117012445e-5
0.8,0.4006242908410675,8.454329473762799e-5
0.81,0.407477617740895,7.733466539908157e-5
0.82,0.4131443081575408,7.442821851079525e-5
0.83,0.41790306977909353,6.972791468858246e-5
0.84,0.4219976748415956,6.574198617159364e-5
0.85,0.42543115133289044,6.61471783869342e-5
