aval,lambda,lambda_sem
0.6,-0.4837754918321367,0.00012162691050626998
0.61,-0.46693710104164715,0.00012365950157766203
0.62,-0.4502739258222928,0.00011938727163198274
0.63,-0.4342673165579299,0.00012766897247932347
0.64,-0.4180425253487304,0.00012608537489348332
0.65,-0.4025255366127144,0.00012223345199289121
0.66,-0.3866477091539993,0.00012490681717843255
0.67,-0.37149742265092717,0.00012434039396810683
0.68,-0.35640438316855494,0.00011895114172770945
0.69,-0.3412506219478575,0.00012498458150997314
0.7,-0.327272151054933,0.00012532400410352986
0.71,-0.3126724826188312,0.00012409583646596147
0.72,-0.29825357699831306,0.0001288123558881523
0.73,-0.28426305753275716,0.000128122633815692
0.74,-0.2703660797062803,0.00013123419977174058
0.75,-0.25570790162131923,0.0006772797310388062
0.7525,-0.24183697460916384,0.002458825395313429
0.755,-0.2013746381536129,0.005003119748243162
0.7575,-0.1182954344477255,0.007535078703312889
0.76,0.03174014843638628,0.009272784311820752
0.7625,0.1381480125687253,0.009006493357439747
0.765,0.23585800219315883,0.0076037468641723515
0.7675,0.29639675286009676,0.005921630828899258
0.77,0.3333824752210997,0.004477405470478742
0.78,0.3806830403770941,0.0010635350890527478
0.79,0.39276231172586656,0.00021384159958734593
0.8,0.40041583224913,0.0002014705976624792
0.81,0.4074661204955666,0.00018412779183460076
0.82,0.4130862748795596,0.00017769506628924543
0.83,0.41795921414024195,0.00016452118660797556
0.84,0.4220180987158362,0.00015838966199102557
0.85,0.42553749784220857,0.00015256413165492174
