aval,lambda,lambda_sem
0.7,-0.3273747372302708,0.00021899319869294302
0.71,-0.31297204763306213,0.00021895683447632988
0.72,-0.2983228569835647,0.0002244846989931942
0.73,-0.28424652281004764,0.0002254126962482568
0.74,-0.2702719134581843,0.00023123042729687913
0.75,-0.2558665109750123,0.0006362913200253994
0.7525,-0.24311290318975037,0.002416794365876928
0.755,-0.20656067246901144,0.004811380473863847
0.7575,-0.12740663140233519,0.007433324570411044
0.76,0.02487502212411631,0.009349480654650237
0.7625,0.1339861430828567,0.009116040467396
0.765,0.2318380052186917,0.007743360277510986
0.7675,0.2919002975109566,0.006095125753487791
0.77,0.3326977043003563,0.004569197526361825
0.78,0.38045596413275323,0.0011274536545337883
0.79,0.39178811429914046,0.00039666591600582093
0.8,0.4003902161290106,0.0003779061622207384
0.81,0.4078194382731908,0.000350513925742073
0.82,0.41303926876542907,0.00032290161872787954
