a_val,lambda_L=32,SEM_L=32,lambda_L=64,SEM_L=64,lambda_L=128,SEM_L=128,lambda_L=256,SEM_L=256
0.6,-0.49958515969796635,0.0005501456426997213,-0.48928290050347834,0.000323294496975998,-0.4853979841075934,0.0001819611690067309,-0.48425720089842644,0.00011137235695745608
0.61,-0.48162558093624847,0.0006106854132357006,-0.47142959087762437,0.0003350864968832544,-0.468589414710934,0.00019010021221536639,-0.46746845992355146,0.00010970830768371186
0.62,-0.46320296565320873,0.0006126911266214158,-0.4550835310705092,0.0003416937087632302,-0.45170122454538825,0.00019112902593353291,-0.4509106837530158,0.00010794727996963773
0.63,-0.4475263800148785,0.0005790147640917756,-0.43888407718411676,0.00033079942932326347,-0.4355903899268588,0.00019280607294159963,-0.43474504200072034,0.00011505797596882182
0.64,-0.4305687304667072,0.0005824945740743099,-0.422774557066933,0.00034128294897532236,-0.41923909377598473,0.00018515457679320807,-0.41856926237943015,0.00011248102488519855
0.65,-0.4151706955350476,0.0005820414566997819,-0.4067213016315693,0.00032411210024512003,-0.40391812116974307,0.0001972608637789069,-0.4030287395300687,0.00011133019098270553
0.66,-0.3983283439755117,0.0005985575888731499,-0.3910683260288065,0.000332724673755168,-0.3885322726216502,0.000195590713661706,-0.3871957883449725,0.00011333414289490814
0.67,-0.3819551261187274,0.0005826613977906635,-0.37560718331392534,0.0003421542046648577,-0.3727799978655856,0.00019410939758009125,-0.3719578805527479,0.00010940707351324825
0.68,-0.36597197723553954,0.0005966306686192335,-0.3600975753187499,0.0003510822457634052,-0.3578095301080169,0.00019714503188586395,-0.35692411176574124,0.00010630613463530846
0.69,-0.35111528961965527,0.0005931626185489857,-0.3457165372023046,0.00032658075025276305,-0.3427208476912089,0.00019394305229759195,-0.3416810565441444,0.0001119469611239978
0.7,-0.33745490865163635,0.0006042296266123982,-0.3306806644758954,0.00033499019011603605,-0.32779007192528103,0.00019307648882423094,-0.3276131470171941,0.00011189423810119791
0.71,-0.3217108492540501,0.0005938790994137429,-0.31671523540453245,0.0003392897231433993,-0.31409477680536885,0.00019810110085063108,-0.3130046151644347,0.0001098111900163709
0.72,-0.3050469669830903,0.0011922516076051672,-0.3009424563059456,0.00034254768662054076,-0.2996649736841682,0.00019466140704736248,-0.298639646975521,0.00011612243098654749
0.73,-0.27589491402534316,0.003044994953795103,-0.28697664916464816,0.00035131679113554006,-0.2849142696533785,0.00019323854564251732,-0.28460780542884767,0.00011664651229356667
0.74,-0.2142328830597599,0.005668189436836425,-0.26438840835569366,0.00219204797846475,-0.2714094012541467,0.00019747742302236542,-0.2706663919695854,0.00011477103713438713
0.75,-0.07008643578625116,0.008737246060412393,-0.1736451083034662,0.006471725168633528,-0.24078675415566078,0.0029486396013711177,-0.2558049731629968,0.0007158096009164902
0.76,0.10340901601774728,0.009329817543884312,0.05360287912304919,0.009365508435626375,0.020731489494697223,0.009239283688679665,0.03404909147487816,0.009262068772411688
0.77,0.21796071898968852,0.008208356819152796,0.26181128398655384,0.007208474326624827,0.30000168688859014,0.005978651885084248,0.3343532122755183,0.004429193176302602
0.78,0.3410947215713624,0.004924787321004348,0.355684587426255,0.003931475794606674,0.37111649798330243,0.0025689797859917538,0.3810902516608387,0.0010565881135830757
0.79,0.3835908154069084,0.0028724969560010027,0.38558502279956075,0.002021367799774597,0.39057596165951747,0.0010954994505333723,0.39298587630717435,0.00019713317946725244
0.8,0.3999973505794697,0.0018831883967888644,0.39984720178368244,0.0006748918740243226,0.4006036706538932,0.00033899913817154857,0.4010594402198604,0.0001786041053604792
0.81,0.4096430401129648,0.001350622518352139,0.4077985703260404,0.0006218204530652676,0.4070538591702338,0.0003093606034353848,0.4079061904492003,0.00016697303864650858
0.82,0.4161320628596046,0.0011942586288959355,0.4131105576353421,0.000579544799518318,0.41306989701309205,0.000300073309288972,0.4134759572333028,0.0001580556160237145
0.83,0.42271045858996903,0.0010759818894530127,0.4190050414943159,0.0005552700518497795,0.4176202240873527,0.0002847505379603728,0.4183368798004718,0.0001430774291991378
0.84,0.4257564687405461,0.0010782216210621111,0.42283313774256626,0.0005376001660956602,0.42185684927818684,0.0002714089742132283,0.42241183269082366,0.0001413376692275475
0.85,0.4313298952558562,0.0010738543290081735,0.42590258434098144,0.0005317954976249847,0.42567021990603177,0.0002593817323727074,0.42597682131772185,0.000135106739042185
