a_val,lambda_L=128,SEM_L=128
0.6,-0.4853979841075934,0.0001819611690067309
0.61,-0.468589414710934,0.00019010021221536639
0.62,-0.45170122454538825,0.00019112902593353291
0.63,-0.4355903899268588,0.00019280607294159963
0.64,-0.41923909377598473,0.00018515457679320807
0.65,-0.40391812116974307,0.0001972608637789069
0.66,-0.3885322726216502,0.000195590713661706
0.67,-0.3727799978655856,0.00019410939758009125
0.68,-0.3578095301080169,0.00019714503188586395
0.69,-0.3427208476912089,0.00019394305229759195
0.7,-0.32779007192528103,0.00019307648882423094
0.71,-0.31409477680536885,0.00019810110085063108
0.72,-0.2996649736841682,0.00019466140704736248
0.73,-0.2849142696533785,0.00019323854564251732
0.74,-0.2714094012541467,0.00019747742302236542
0.75,-0.24078675415566078,0.0029486396013711177
0.76,0.020731489494697223,0.009239283688679665
0.77,0.30000168688859014,0.005978651885084248
0.78,0.37111649798330243,0.0025689797859917538
0.79,0.39057596165951747,0.0010954994505333723
0.8,0.4006036706538932,0.00033899913817154857
0.81,0.4070538591702338,0.0003093606034353848
0.82,0.41306989701309205,0.000300073309288972
0.83,0.4176202240873527,0.0002847505379603728
0.84,0.42185684927818684,0.0002714089742132283
0.85,0.42567021990603177,0.0002593817323727074
