a_val,lambda_L=512,SEM_L=512
0.7,-0.3272634344354446,6.550618118490395e-5
0.75,-0.25693651791527644,6.808612744868294e-5
0.7525,-0.2535061646859604,6.634411783407023e-5
0.755,-0.24436569770614563,0.0017404253539229815
0.7575,-0.1654346837063675,0.006241169333499036
0.76,0.017429411431423746,0.00917650767129356
0.7625,0.16719381484067444,0.008677472364596706
0.765,0.2677286961425238,0.006827395335442869
0.7675,0.32993951434561875,0.004486248445131575
0.8,0.40171946639278566,8.97360645145312e-5
0.9,0.4378657877916798,6.582658075193594e-5
