aval,lambda,lambda_sem
0.6,-0.35077600100244594,8.486933999080125e-6
0.62,-0.3169533551770494,5.596697489568119e-6
0.64,-0.2842339388751472,8.66322256805952e-6
0.66,-0.25250829824269955,9.413850956188738e-6
0.68,-0.22171718115223363,8.632716139215847e-6
0.7,-0.19185189830927815,1.000311857583986e-5
0.72,-0.16282520455760185,1.2408450687059272e-5
0.74,-0.1345659248928862,1.1809607901374741e-5
0.76,-0.10709235991542748,1.3921034341258526e-5
0.78,-0.08031450685615012,1.3051265879480698e-5
0.8,-0.054224055601591443,1.2482145331627934e-5
0.82,-0.02884616498143894,1.700018134151836e-5
0.84,-0.0038279666317662503,9.837764224866024e-5
0.86,0.04987951720202729,0.001868908422340514
0.88,0.07826386624278579,0.0017366228867317648
0.9,0.08501640039275714,0.001550002382091103
0.92,0.09314942154164213,0.0015760064279408382
0.94,0.10774164854703848,0.0016831237299749114
0.96,0.09862566270666846,0.0015063350951803752
0.98,0.07235587018648677,0.000678208284981083
1.0,0.05789905636753473,0.0004953774382689336
