aval,lambda,lambda_sem
0.6,0.15086342158273502,0.006311067406113053
0.62,0.17998515439387894,0.006324634292400807
0.64,0.20473924833889334,0.006346580768401162
0.66,0.178371654466198,0.007838774621295851
0.68,0.1627200559558354,0.0079252016281909
0.7,0.14735572140711822,0.008806129000545188
0.72,0.13315171974166326,0.009087033040710577
0.74,0.1259038598793516,0.009175787440839486
0.76,0.1351483299136837,0.008682347027554735
0.78,0.14175766018871278,0.008206958256389434
0.8,0.16625609530770177,0.007875411761757154
0.82,0.16065893430086436,0.007313930052840716
0.84,0.1793248005942522,0.006696498647227603
0.86,0.16373720655057816,0.004984014971605272
0.88,0.16558001178954213,0.0036552364082616698
0.9,0.1476613288620371,0.002712172758525355
0.92,0.12569252397839054,0.0016198149844767339
0.94,0.09716300007387937,0.001054745400751901
0.96,0.07354005641704836,0.0006740575658131399
0.98,0.06261581181679335,0.0005644699318913424
1.0,0.05903336949000695,0.0005195200327277248
