aval,lambda,lambda_sem
0.6,-0.5819848962917527,0.0033849123436550817
0.61,-0.5670948514636859,0.0033558490366169483
0.62,-0.5435348692293582,0.003399662233757608
0.63,-0.5084916124319303,0.0037226994705939925
0.64,-0.4793147886204131,0.004321776848552738
0.65,-0.44018025498133806,0.005157323583627376
0.66,-0.37867512611461274,0.006423730500125511
0.67,-0.30334554221107307,0.007467755812883609
0.68,-0.21872164565532215,0.008873333554798727
0.69,-0.10675577252939845,0.009794609621583985
0.7,-0.011605317243118321,0.009928578429680224
0.71,0.08817538620484901,0.009910862875970636
0.72,0.19793772602894544,0.008999602283284185
0.73,0.29581683940526743,0.008117918753998223
0.74,0.3384135663743931,0.007060108588216872
0.75,0.3834688543546133,0.005996850343226947
0.76,0.4128765711079035,0.005176054534725374
0.77,0.4420596346487977,0.004720579098505117
0.78,0.4586372679609834,0.004390345933921235
0.79,0.48067671938911727,0.004179455805174676
0.8,0.48632728048625373,0.0038165461661696636
0.81,0.492451985267073,0.0038374341797617977
0.82,0.5030190350602405,0.0035968474513917966
0.83,0.5114675654539402,0.0035347919846986297
0.84,0.5156143152048601,0.003474453475510494
0.85,0.5222324283863837,0.003497827525516723
