aval,lambda,lambda_sem
0.6,-0.48454715366303164,0.0006093495058072237
0.61,-0.46652236628589117,0.0006617350885501813
0.62,-0.4491430093783789,0.0006661076667813025
0.63,-0.4343360222158802,0.0006443956581391948
0.64,-0.417721447690324,0.0006489707979467499
0.65,-0.40279724117590354,0.0006360571121443903
0.66,-0.3858795954114169,0.0006543613458290364
0.67,-0.3698207491362495,0.0006179886669456638
0.68,-0.3548026709590774,0.0006559288681478141
0.69,-0.3409643245428582,0.0006299542038629418
0.7,-0.3272215814413836,0.0006411667332081306
0.71,-0.3120442169652732,0.0006516187301976239
0.72,-0.2959308930835883,0.0011559769805236655
0.73,-0.26887708086611506,0.002921126436313047
0.74,-0.2094337770304362,0.005495790997580937
0.75,-0.07200581588885192,0.008455265788985148
0.7525,-0.030810177894591752,0.00893307876728261
0.755,0.01633948537714849,0.00916221690311581
0.7575,0.04903980874225522,0.009126382434582206
0.76,0.09823131574817617,0.009116787747356515
0.7625,0.12535906797698618,0.008960449159878973
0.765,0.17232848971681394,0.008590395676986376
0.7675,0.20864956223376604,0.00799495745218711
0.77,0.21037580176927514,0.008047489322896168
0.78,0.3307126981006871,0.004860389615591965
0.79,0.3713213697552674,0.0028808086186018927
0.8,0.38789899315148396,0.001985119760049791
0.81,0.3967631104263988,0.0014524429015044514
0.82,0.4036677582462323,0.0013170131779915637
0.83,0.4096143635353064,0.0011890290897209888
0.84,0.4131169540196151,0.0011879583677750216
0.85,0.4176281572869855,0.0011859962591165459
