aval,lambda,lambda_sem
0.6,-0.4827267287749156,0.0013560516708826017
0.61,-0.4663921415531082,0.001332517814304955
0.62,-0.4505687317625923,0.0012896501859077456
0.63,-0.434417664657771,0.001315440435941226
0.64,-0.4186816151285322,0.001316999419513397
0.65,-0.4023773064438417,0.0012863311381651342
0.66,-0.3865552600016708,0.0013110375700952416
0.67,-0.36986452503500666,0.0013009342630908012
0.68,-0.3534831401055673,0.0013685212119394351
0.69,-0.3406507715990477,0.0012724856108381653
0.7,-0.32672534181870627,0.0013473307870245997
0.71,-0.31123097512937514,0.0013557185983196667
0.72,-0.29587405967337316,0.001711915077400487
0.73,-0.2708142946090017,0.00318272286748619
0.74,-0.21690613751281404,0.00553181018515051
0.75,-0.08396364025438585,0.008558501030388034
0.7525,-0.04140342701426571,0.00903635396924187
0.755,0.005222370516586961,0.009380390586209241
0.7575,0.04014378653238473,0.009425403676189657
0.76,0.0892518555609632,0.009361555186733135
0.7625,0.12005768262535377,0.009364478106428972
0.765,0.16246224100914386,0.008890999792012291
0.7675,0.2015851057376671,0.008368422752762826
0.77,0.20353544449532474,0.008416181597855269
0.78,0.32779491207403777,0.005421287283779513
0.79,0.370557728617721,0.003653633507455052
0.8,0.38984166298938766,0.0028902282698331267
0.81,0.3949931383083097,0.0025029770605489153
0.82,0.40196474854854897,0.002281347382007682
0.83,0.40783912138479594,0.002118588981133927
0.84,0.41215801008275316,0.0020783892900684063
0.85,0.4161980494024253,0.002256588990758661
