aval,lambda,lambda_sem
0.6,-0.48457576073065695,0.0005412784183403852
0.61,-0.46709365185587637,0.0005981231727188593
0.62,-0.44900160505898834,0.0006086997274375504
0.63,-0.4341155297741516,0.0005701844044318579
0.64,-0.41736590940959206,0.0005698740913281226
0.65,-0.40264572926583714,0.0005727302790424348
0.66,-0.38611969961108694,0.0005885997147678212
0.67,-0.37032654546622945,0.0005670091312043648
0.68,-0.35511560254540586,0.0005814466130761361
0.69,-0.3404838594990206,0.0005853339777929775
0.7,-0.3271394922009211,0.0005911234125412314
0.71,-0.31174813057157585,0.0005853914520251323
0.72,-0.29584683475026163,0.0011442404929310611
0.73,-0.26761331498926155,0.002930637174317536
0.74,-0.20786973296181246,0.005492839459586333
0.75,-0.06814631054273387,0.008475999292705311
0.7525,-0.028364862611608387,0.00886201804421117
0.755,0.019175607768986323,0.009123559734827955
0.7575,0.052790154060823886,0.009143286366422022
0.76,0.09987201515580475,0.009058028449907649
0.7625,0.12732168228521826,0.008899675521017707
0.765,0.17433317887664862,0.008503703046272189
0.7675,0.20986033350440741,0.007946037017853297
0.77,0.211456436957403,0.007965481417711126
0.78,0.33100565228579126,0.004794741429807599
0.79,0.37190768714586014,0.0027947338544011043
0.8,0.38801394673937617,0.0018637021718165728
0.81,0.3971661838395414,0.0013249306088415692
0.82,0.40330918574420976,0.0011762837384950344
0.83,0.41004542909752323,0.0010595864150984614
0.84,0.41322113969760865,0.0010582127670206874
0.85,0.4180820860601482,0.0010646956030486172
