aval,lambda,lambda_sem
0.6,-0.5003728037731702,0.002967484974553623
0.61,-0.484537162722284,0.002878932534639004
0.62,-0.464305753228585,0.0026400968942471154
0.63,-0.4471089263759332,0.003052461197233537
0.64,-0.431398256347569,0.0026863531819907634
0.65,-0.4113503171455888,0.0028436907677650463
0.66,-0.39929162810696606,0.002268045260577568
0.67,-0.3848122629261069,0.0030222420560259734
0.68,-0.36634616512519913,0.002584847740899844
0.69,-0.3530522391513772,0.0027050549137174777
0.7,-0.33540222821939425,0.00266250336616686
0.71,-0.3183106225263154,0.0023229450611885034
0.72,-0.2525779633769478,0.02149877107009086
0.73,-0.11204396237238891,0.03792820207652788
0.74,0.06640052561490482,0.040441276407737
0.75,0.279565715385167,0.024393449118648446
0.76,0.3655776508697302,0.011574397080130338
0.77,0.3753018801974724,0.00714660411655392
0.78,0.3917817840137964,0.005290412565093966
0.79,0.4007760464316935,0.005093618910086904
0.8,0.4029554707249551,0.005668797423963194
