t_step,value
39,0.23037136389776977
40,0.24060450091399693
41,0.22716020124667197
42,0.23494721844770816
43,0.23676155427132511
44,0.23643124999957738
45,0.218822652012567
46,0.24286859790732726
47,0.23258189090007228
48,0.2347180157588385
49,0.2263151698001517
50,0.23803866677476215
51,0.2430665945266275
52,0.22818680134557945
53,0.2309632292556761
54,0.22697503809125727
55,0.23609286388367198
56,0.2369573469794349
57,0.2429226044236824
58,0.23880212251947436
59,0.23016027944059547
60,0.23638707465422096
61,0.2370572335444657
62,0.24139233959845532
63,0.24337898103471586
64,0.2351404988259223
65,0.2342231275834832
66,0.23696850948993384
67,0.23350365978758195
68,0.24417593613218955
69,0.2513589251166247
70,0.23746292086639545
71,0.2424853112761645
72,0.2343620919330632
73,0.23879132968168248
74,0.24663966047480576
75,0.24615004047804018
76,0.2345296306894158
77,0.24820754461177025
78,0.2503758755055092
79,0.234706265934967
80,0.24659858615639124
81,0.25052146533396646
82,0.2393050885823768
83,0.2482363427840626
84,0.24023166326831044
85,0.24558548012745912
86,0.2435540379866795
87,0.2505208449424562
88,0.24993061074868475
89,0.24796225915830103
90,0.24929219086944848
91,0.2555631083132115
92,0.25577949059963345
93,0.2526218886961502
94,0.2551669303435521
95,0.25868510214286095
96,0.26021967675341695
97,0.2619857523088985
98,0.25523482528572244
99,0.2515203621189064
100,0.262160628351854
101,0.2632560590436974
102,0.25979263691665533
103,0.26404260380781114
104,0.2700140644809
105,0.264775073332255
106,0.2570198120289312
107,0.2531529771243578
108,0.25612591692477205
109,0.2605876810155949
110,0.2616720007265039
111,0.2735928768596341
112,0.25744001121415727
113,0.2701802362042782
114,0.26224468560097336
115,0.27456313469448224
116,0.2628417976731737
117,0.25895789209095427
118,0.28338703811108745
119,0.271780710248575
120,0.26829209061727083
121,0.26003735848473897
122,0.2809727607588679
123,0.2806880155825933
124,0.2698358851241066
125,0.2842109356502191
126,0.27336486163416696
127,0.27528865218283083
128,0.27323862620186573
129,0.2763372337283741
130,0.27842874238362497
131,0.27521599063124996
132,0.2727570400156887
133,0.2920100210873037
134,0.289744000340244
135,0.29380627617195987
136,0.28588031945186027
137,0.2708093358368384
138,0.28519540922401176
139,0.2833507744298977
140,0.2931163524505963
141,0.281489544866437
142,0.2836476895636886
143,0.28207850214622504
144,0.2812386684629142
145,0.28625985677526444
146,0.285807828360713
147,0.28258897238134667
148,0.28495466361040933
149,0.29099756602948423
150,0.28909221557321324
151,0.29153696469686735
152,0.2911767462313362
153,0.2961820565408301
154,0.28983741594257206
155,0.30061699315923995
156,0.2956353027054647
157,0.2882901611544204
158,0.2857668105174441
159,0.2978219035629279
160,0.2893493243202082
161,0.2952654290994823
162,0.29115601942227853
163,0.28956991727228854
164,0.2912691206708793
165,0.2895140570848401
166,0.2922744993968325
167,0.2916494173904499
168,0.2904492183629924
169,0.2927706391854399
170,0.2924778000806022
171,0.29794247518416195
172,0.30304282202019434
173,0.2984079134242571
174,0.29376394847818377
175,0.3035931892098365
176,0.28801725139453754
177,0.29899542699048953
178,0.30015675734410985
179,0.302196297064196
180,0.3047997526873865
181,0.2935558792185574
182,0.2923128924073523
183,0.301807751256417
184,0.30070837071554213
185,0.29628883135685424
186,0.2998464327725136
187,0.29533871981734255
188,0.2941473099116862
189,0.3037643521856811
190,0.30618593180488524
191,0.30133222684502303
192,0.30252415788240433
193,0.3084843989283892
194,0.30729947829940807
195,0.2997771644477601
196,0.3097210312051374
197,0.31404966322722416
198,0.3071952927501934
199,0.30214145636927414
200,0.31336143018526724
201,0.309742526838388
202,0.30834520148896427
203,0.30123854756369994
204,0.3061801058769287
205,0.3093840531711361
206,0.3059388714757827
207,0.3017775659511569
208,0.3075438046061054
209,0.3163010025296694
210,0.2935455998999675
211,0.310226596143768
212,0.2984457251914221
213,0.3234300964758192
214,0.30494648309283673
215,0.3186288362926614
216,0.3046042896149295
217,0.31066651381237553
218,0.31015637451377864
219,0.3213869325567067
220,0.3041476871426153
221,0.3214473443283387
222,0.3135582825801679
223,0.3158144519015154
224,0.3188010962220628
225,0.31095780795884326
226,0.3152541881512018
227,0.32510745772205374
228,0.3168709136948694
229,0.3239188585784837
230,0.31548473964753426
231,0.3163114832734298
232,0.31672375088407767
233,0.3213244248509095
234,0.3151881822729752
235,0.3156717228797256
236,0.32118622029283106
237,0.3209222730693746
238,0.316764783464025
239,0.326235508801696
240,0.32037721373954664
241,0.32471251154829467
242,0.31132474599537757
243,0.3217354055839995
244,0.3213812549241039
245,0.32694970246291505
246,0.32168312271864025
247,0.32673167233961037
248,0.3300729088160379
249,0.32763495017694233
250,0.31413735635720746
251,0.3254629716212828
