a,xi_tau
0.74,237.3476016603578
0.72,45.993811021133624
0.7625,14775.28782097019
0.7,18.91810357512518
0.68,10.888317298451131
0.76,8520.095037725083
0.7525,1736.8893576026333
0.67,8.593756725773487
0.71,31.378964860416847
0.7575,4314.689822770321
0.69,14.545884074171717
0.73,103.50254925707814
0.755,2567.946034084237
0.75,1017.2955919494681
