a_val,intercept,slope
0.68,0.40487240425486026,-0.0904834592048776
0.7,0.08433612282553059,-0.05148266435196785
0.73,-0.501191051713408,-0.009895060122921918
0.76,-0.3654394565682049,-0.00015361609013055875
0.71,-0.238357264622321,-0.031660029088700546
0.65,0.7065568555758743,-0.17124601413195684
0.77,-0.20925455504097848,-2.090245451555763e-5
0.6,0.8535852419228819,-0.3016511329205882
