aval,lambda,lambda_sem
0.7,-0.3519997070478238,3.6732724316181354e-05
0.71,-0.337850361838288,3.5725538359183236e-05
0.72,-0.3238400662926927,3.714922042054457e-05
0.73,-0.3100663648016089,3.6187988337156776e-05
0.74,-0.2965057114409331,3.539094108161918e-05
0.75,-0.2716695543699385,0.002129851078067793
0.7525,-0.23074275449340592,0.004729374888371222
0.755,-0.1422068598008827,0.007411358040179376
0.7563,-0.09038856421105464,0.008366899764802293
0.7575,-0.028175801672049305,0.00906566142166669
0.7588,0.045231487689393515,0.009280661883542922
0.7594,0.07201870286248394,0.009296748578797592
0.76,0.12460369257438098,0.009069747282491958
0.7605,0.13367588095231928,0.009074483293757502
0.761,0.1506420357924465,0.00888186148116465
0.7615,0.151247570538621,0.008798143470859134
0.762,0.1722598178811751,0.008537804182522474
0.7625,0.1955404549447759,0.008335451121564804
0.763,0.21308142850495204,0.007992278230296492
0.765,0.2703627422011948,0.006753712528415591
0.7675,0.3237212886288452,0.0047523431938769675
0.77,0.3429031555899713,0.003816165764461991
0.78,0.37966090864771723,0.0013575766691198393
0.79,0.3926290932649175,0.0001364432882158131
0.8,0.40082176561113214,0.0001278162362958005
