mean_lambda,std_lambda
0.28760554249754894,0.2896878709997999
0.3262719108259204,0.2919479746120562
0.3552344177103242,0.2793834809693421
0.35557651410605523,0.24546157100461063
0.37373236072544735,0.24386094809851522
0.3570616617854262,0.23727816059623064
0.3594645479513358,0.22432002680954483
0.3460224532628744,0.22893849085288373
0.3591870524328185,0.23020570573575766
0.35840171919459407,0.22747635619691517
0.349514478311783,0.23805254143537735
0.35430590959407315,0.2295233885664348
0.34684211641613266,0.2372155218575789
0.33718016700846987,0.23525737624771187
0.3392824862167791,0.23287438843159752
0.35169781718538473,0.2284747518281724
0.34846549825296447,0.23277784598580586
0.3349200711266173,0.2338346154637156
0.33986088366371675,0.22907614863610398
0.33096530064408447,0.22705432848062895
0.3257854482599693,0.22346158993174955
0.3348019535453352,0.2311056081667312
0.31970923233469656,0.23587934050940162
0.32996107157087706,0.23156453024507725
0.3155787032845341,0.2322868519978964
0.33342926133186496,0.2299004812276531
0.3294491264188466,0.2290701923269354
0.3266397147796196,0.2257963734245572
0.33175162373171513,0.23879406216701138
0.319414953559508,0.24277090010085806
0.3169365269993375,0.23643856278788156
0.32096807565287067,0.23465934620020976
0.31501356853683815,0.23827541864766752
0.3302225035266241,0.23217391071821553
0.32602151747775054,0.24218618287300536
0.3295294781294533,0.2385775502068469
0.3410114953422386,0.23890810087662864
0.3333689742022926,0.22976176851033772
0.32982969615042856,0.2417074213459526
0.3273539958497852,0.2227119362379975
0.32133684307646065,0.23878184453397572
0.31624232168486244,0.23040844988078427
0.3331075088854645,0.2339951912908365
0.3245572085064044,0.23248131145206236
0.3327094267404241,0.23043987475938027
0.32710986300962847,0.23912315824554725
0.3259582081408147,0.23765513784928124
0.32927393051215625,0.24880504405513765
0.33284452915403284,0.23748927983016568
0.3414457171371598,0.23680147072228755
0.3182672296813728,0.22948507004213065
0.3217365332078841,0.23484667023558833
0.32607758666508296,0.2325109399592842
0.3333910248757366,0.24690738956614652
0.3375077198741183,0.24220961159664975
0.3315171704535082,0.23439091827691785
0.33872233360182336,0.23423927717146198
0.33035137252718966,0.2422254218668449
0.31937271821712926,0.2388298134952714
0.32372838653499736,0.23570650013269803
0.3221706601754582,0.24499661683316049
0.322333218959605,0.2449481602398412
0.3297412081593236,0.2382444377173851
0.3183057237856115,0.24333231026422655
0.32155835788534143,0.23998697112863446
0.31820892465092215,0.25284852841501315
0.32202375378747716,0.2557772480458265
0.31729396589732284,0.24294229944601756
0.32686694230028057,0.24546368940473545
0.32357241511013696,0.2379443555123296
0.311197435124799,0.23615463681227622
0.31646937177897216,0.23566302038782047
0.32790661461547094,0.24556860579010986
0.32412200448747136,0.24812907135255793
0.3268127356508734,0.23824826481951084
0.32602261350295075,0.2447272330235742
0.3192600243247695,0.2324238986869877
0.3240438107492564,0.2342083368354641
0.32120179343267846,0.24849356296913586
0.3202625030131137,0.23664466403940426
0.3244891026078158,0.2401037283989795
0.32988774090151146,0.22578999392901453
0.32620492925747585,0.2320498932687996
0.32369348452750385,0.231513275236221
0.3272436822112197,0.2437509435472132
0.3312697620396038,0.2284822004297352
0.3267514790411138,0.23698961621645076
0.32939401067844637,0.23740672559252607
0.3203066017185385,0.23849780931926262
0.33197700759186294,0.24303098907997348
0.33890990323962367,0.22817318637874073
0.3317674487725186,0.2395026470519036
0.3467936295727094,0.2348147251094883
0.33109672264350315,0.23617413490603933
0.34188458940548355,0.22269197820569328
0.3299126414434538,0.22658126412007856
0.3386631830983017,0.2258806426738041
0.32982496437407577,0.2350081710610007
0.3410067165771586,0.2271765945583752
0.3189672771366642,0.226936509290606
0.3412525437249339,0.23128034494588276
0.33075844343654776,0.22587335948469134
0.34126834722804583,0.23774035432214508
0.33806928964220373,0.23165730866946482
0.34527003665871786,0.22954380954132278
0.3388365502541182,0.23501172599053174
0.3253178553564539,0.2354606980028377
0.3233302965549043,0.2239721309261114
0.32460646053017006,0.23938229356584276
0.33045607196602733,0.2313268208861026
0.3283925409852613,0.2104049665039085
0.3262784215410891,0.23478061286433533
0.325348826756471,0.2303920332072017
0.333179692683878,0.23166142514805332
0.31893875254217496,0.2401642162205041
0.32036690585995675,0.22869885660348535
0.3207014974767288,0.23889867525318634
0.3272519970017665,0.22250498530899493
0.33220645418324324,0.21387224097256893
0.3263760754965213,0.24392362940428655
0.32807708195013635,0.22944005028214523
0.3402662116523356,0.2319545484385988
0.32930747216530554,0.24054560755707213
0.3459843712050464,0.23142038992450856
0.3363236975190252,0.2377668774332735
0.33025127431397194,0.23671696193429492
0.3412136870243078,0.22734507787431368
0.3363140249486021,0.2393862263829155
0.33633969013429,0.23831496540664832
0.3307062647115401,0.2350297018621759
0.3289089582977173,0.22914086577440548
0.313124331958775,0.23722979372680134
0.33328686169343574,0.2230832112428714
0.3377011934294052,0.23385472351112854
0.33825224621307004,0.23531377347494012
0.3362571463099887,0.23267589138744527
0.32756252627723864,0.23740371442649097
0.32446976361777524,0.2358146024138853
0.3329017776738823,0.24127831731101373
0.32747371828861044,0.2358270937180533
0.3221465783951691,0.22824027214721054
0.3388430582366773,0.2287280694790938
0.33633565188242587,0.2252309296998798
0.3271637889637956,0.23947845301608328
0.3325399388908237,0.231414906526565
0.3394832282927804,0.22869427549685284
0.3341997825312023,0.23582803386290382
0.345835019315979,0.23088035070274368
0.3347455500600758,0.23846733822381982
0.31068430647032624,0.2257468721485645
0.331736276119861,0.231507905520215
0.3371833928434762,0.2309056926837315
0.34197512666948254,0.23392839356607859
0.3369372037693431,0.23232689870016823
0.3264835965031618,0.2245486769183632
0.33713242262383725,0.240800191420377
0.34070530878981936,0.2296495550666514
0.3280285755180726,0.2311926814193347
0.33421297283317425,0.22227141687379204
0.322057926667536,0.23151060320411457
0.3376997622828637,0.22587029235044737
0.33411238425108036,0.22659513413423046
0.33631259772618793,0.22329814783098337
0.3400783454437131,0.2257681512135235
0.32944168475245483,0.23285586868770863
0.3285182193238969,0.22259031292277678
0.3288224817288938,0.23955914301752324
0.33049078599722065,0.22401500528898866
0.3392599987740147,0.22880629969745886
0.3370297645209112,0.23838724443801884
0.3299428135308909,0.22459825305811823
0.33059844334098826,0.23483286794984318
0.33838328449221045,0.22869160581447742
0.33024348634469114,0.22313462648585333
0.32926714782551425,0.23204381344194341
0.333734510907427,0.22917439293048467
0.3327118402995497,0.23014039181870738
0.3187414772967537,0.23445691828624793
0.3318239999508613,0.23602796199843898
0.3313774507908692,0.23576959291500624
0.33164467117472185,0.23747529839153936
0.3362146873336388,0.24254797151917026
0.3203034593126766,0.23090248024191107
0.32432743669688197,0.24103431247866103
0.32741114048489756,0.2428329130530006
0.3202428983476628,0.23248952027949113
0.3277866946836412,0.23682600086181063
0.34166126027243066,0.22890635582260285
0.325256745462762,0.2483532000166577
0.3188473192795104,0.23059920317897029
0.31466777812315316,0.23408270100962567
0.3219989862115891,0.23383985233846968
0.3386412752914549,0.23003226838431667
0.3271861891052724,0.2459714045123167
0.33725593200794823,0.23332360703443902
0.3340328823517536,0.2361846169653836
0.33354455178770903,0.23768461263060303
0.337883740605646,0.2345342830601165
0.33039073929436125,0.2385745727508216
0.32256208702185274,0.22546965045698183
0.33520500237681233,0.23318955938756167
0.326864742098339,0.23778629908340151
0.336665838521073,0.23115267453664037
0.32545854407053715,0.23570885349241583
0.32613015943556345,0.23182551222499093
0.32826045648897495,0.22565451451656268
0.3281144274087086,0.23284901586407564
0.3277374180704481,0.2292986263448318
0.32901111141627604,0.23851850429269433
0.32703018692343877,0.23047669989092692
0.3312017333565723,0.2310452340741097
0.32894665398394907,0.24196931324601345
0.32455448307449264,0.23880887590991753
0.3367104280973579,0.23157655047603976
0.3386357759466264,0.23853971937536306
0.3291629291638528,0.23573444386008877
0.32286668240261734,0.22838506090837965
0.32733545295610034,0.23687087085315844
0.31785455422825215,0.2367111584759966
0.33216873675695574,0.2330183594986655
0.32556992224746834,0.23505036074255256
0.3332403148064198,0.23906963714823462
0.3360669496473757,0.23475221082900677
0.32499630094291504,0.23251606282641904
0.3239736835975671,0.23296026733024372
0.3134784736688621,0.2450816958812065
0.3185201612973464,0.23528581069409116
0.33178316319168677,0.22862319368482578
0.3328446898188813,0.23506187519638008
0.34121247488853973,0.2308657696271615
0.3129798607378843,0.2370641181685699
0.3343446346828826,0.23214598396345254
0.3233807022727992,0.23553691609669541
0.3153183298343269,0.2427193929795428
0.31434666712132314,0.22946287244715255
0.3267015951800719,0.2375107144163962
0.3198033705443081,0.23338128286089546
0.33431603390667874,0.23289624004574633
0.32666974557682915,0.23949127252594746
0.32207535104704543,0.23310427018581711
0.32579334413837596,0.23521174446540682
0.32864189284978856,0.23776803207863653
0.3212824637769279,0.2408215067155331
0.3221602998545682,0.23646470908818473
0.3256952862182655,0.24071880795161504
0.33148064911142416,0.23656465865307025
0.3257908726461349,0.2350662765817994
0.3193846892088052,0.23926295607487438
0.3222165775441644,0.24260930542354062
0.3332978359132223,0.22859052539576902
0.33756050492630235,0.2377001892074899
0.32641137753204147,0.23509406222673876
0.3356199207222556,0.23286749376124574
0.3412176893727679,0.2377537306532898
0.33772532284870893,0.24085601482179259
0.3368217356077229,0.22534079002325252
0.32713742381257305,0.24027962594365498
0.33121291648636364,0.238316729857889
0.31776120550518155,0.24232035468026636
0.32990865109168543,0.23036986078677857
0.3175383607579372,0.24233293211323925
0.32167806754489375,0.23696329023226634
0.3266647504958383,0.23064380596631065
0.3268789852279321,0.24801394305726304
0.3287498458175856,0.23255742798026752
0.33086887083290895,0.2387132583033213
0.32553974232299576,0.24063481268270542
0.3076262832174064,0.23682008704615168
0.3171247669197163,0.22816426269990736
0.3177162191594571,0.23345061848705254
0.31938524053512585,0.24459543694626643
0.31943477991232383,0.23653948120407434
0.3263821593097938,0.24009315005750292
0.33661600701107447,0.24436521310547274
0.3167080204412575,0.23613025372718208
0.3163940717385956,0.24498479457821065
0.33344810675277997,0.24508995989710564
0.3202245948038463,0.24878276395209925
0.319213582916107,0.24207991525689096
0.3281668376156873,0.22758759205510587
0.3229858931928684,0.24521344980472734
0.3200830733728892,0.24361152258352173
0.3245854469620548,0.2393922370683567
0.3021896487274853,0.2468369059647603
0.3165026501722386,0.2492361501716963
0.3265273132565532,0.24233833654535736
0.32889953839135044,0.2422860945822064
0.3214395234326803,0.2385865684069862
0.3050743951657685,0.23728654103701374
0.3172093637214013,0.23153525519956156
0.31484788493458815,0.24058356461265948
0.32636609574985526,0.23850515542217504
0.3320894536612689,0.2421789173370478
0.3302663506394647,0.2491496488128762
0.3190380149747098,0.24948531957654146
0.3271093941677777,0.23746801707041956
0.3216188079088189,0.2433692552949511
0.3370422430261676,0.24286902481884315
0.3189695562491392,0.24005982405721624
0.3162380570381055,0.2504022999576725
0.3342861559400872,0.23321782362753454
0.33375149692137396,0.2263832576271049
0.31961066579305586,0.2463542404235473
0.31975204587880857,0.24325992366311172
0.3258851839394154,0.2376933216761233
0.31184907128590433,0.24231828056641228
0.3253427607481363,0.23393147898065345
0.3241624287142908,0.25159269946419005
0.3315054575986608,0.25076393955255716
0.32961480474055393,0.23477071443433947
0.32263457356994424,0.23622982746072319
0.3236332643981156,0.24383415784975954
0.3260859484443331,0.24202546668639255
0.30843267704673866,0.25169955141315725
0.33110161079309824,0.24212165678580833
0.31709227756334546,0.2428000335990216
0.32513732005485324,0.24263534344217993
0.32640357893220817,0.23834250997709827
0.31544412615505124,0.24755030303162553
0.3253835596827126,0.23975921965435726
0.31428167297540327,0.24483007998307962
0.3151005132798541,0.24767651962695222
0.3296834498626176,0.24040941320505657
0.31518424428391073,0.2476602163586507
