a_val,lambda_N=2,SEM_N=2,lambda_N=3,SEM_N=3,lambda_N=6,SEM_N=6,lambda_N=9,SEM_N=9,lambda_N=10,SEM_N=10
0.62,0.03267962949225666,0.07093898269896434,0.4320056785890093,0.011789732535123993,-0.12783567311597785,1.411928254602264e-5,-0.2775449108291233,3.435720173144988e-6,-0.31056460524678464,3.742045601451773e-5
0.64,0.15559549012497262,0.04763791798287201,0.47040876707402324,0.0051981718826204365,-0.09540440074401865,5.434816911661169e-6,-0.24535360863638017,3.291966240785854e-6,-0.2783718929257707,6.119707718680515e-6
0.66,0.083743882990257,0.04113446768123465,0.4622833397714932,0.009614071627843923,-0.06399125910512872,9.53281661997099e-6,-0.21415764329983217,4.948051809566744e-6,-0.2472070633589966,1.7639839423418023e-6
0.68,0.060329440406476365,0.10591883902765635,0.4930754178023191,0.00782699723829109,-0.03355410592662908,1.1622136786165582e-5,-0.18388737952313655,4.368410164702261e-6,-0.21698152940884055,1.618478486566074e-6
0.7,0.16954934542419106,0.04936928380139111,0.48306544186911077,0.011787466311762904,-0.001225891518879772,0.004381672816293117,-0.154510850731902,1.272873550505658e-5,-0.18763210446098286,2.186790502970287e-6
0.72,0.15629792710454243,0.04446724862964401,0.45938607394234376,0.01640011892852593,0.007700202882299882,0.012192500052208934,-0.12595074111218732,7.221670854413913e-6,-0.15910961227051748,2.019645566546002e-6
0.74,0.15942990266430573,0.057923072942836135,0.4843193509550054,0.010099832830254294,0.013584475028118386,0.008761035459842074,-0.09817859715310134,1.3340649328347768e-5,-0.13136792135794803,2.6891377144835614e-6
0.76,0.19476533862834258,0.06360479729287631,0.4883232621909553,0.009342734667199093,0.12010789569323929,0.035275055652679216,-0.07120699676277328,7.359050743207722e-5,-0.1043953187787952,1.7086762290717093e-5
0.78,0.2312289022974437,0.05820278490320142,0.48825830140759197,0.008570068618654442,0.2301586878945896,0.014014524210676749,-0.04484956354468716,3.590843665074025e-5,-0.07808204580603696,4.8516977571710014e-6
0.8,0.21430703326459044,0.054774882366984724,0.49842788269212585,0.010017805183032772,0.2435444654751414,0.007063410521597778,-0.01927936934789364,8.67453823369991e-5,-0.052460007036784204,1.0038675934036935e-5
0.82,0.17028475217315517,0.05267104194166358,0.48876692718242853,0.009949474043238081,0.29280681658981045,0.015649260764876872,0.031814335486183606,0.009481203130822615,-0.027470718787982774,1.996054495914615e-5
0.84,0.2214154472912242,0.03280573096569708,0.4688152385420625,0.02161774578365307,0.2973698526208178,0.006069292239209717,0.038609086362119585,0.010274773472824912,-0.00305685971346085,2.7730627196878388e-5
0.86,0.20500414601446945,0.03152260522370211,0.45996861477993845,0.013196802022640688,0.2925292644110053,0.011373282013259076,0.08091909660771081,0.009926736683431994,0.06212982147317049,0.009363370260017602
0.88,0.12228872843073228,0.01700442431302102,0.3496434362038655,0.01960510943515284,0.3035452132629509,0.012742998593757592,0.10331500766073334,0.006388936456069113,0.08124364021085154,0.00453965945157681
0.9,0.13411039974909184,0.014611216503771786,0.211266059000996,0.007972610246062188,0.2973551668674881,0.007934160447359312,0.11014395186307646,0.004450963956095669,0.09625544491223104,0.006066657527260358
0.92,0.10480755277886152,0.006655420781545947,0.1924072510657206,0.010896098328565612,0.31442234191935226,0.015890796474039633,0.09774984021648565,0.008081093169321141,0.07776667269016023,0.005370078173459381
0.94,0.07924159929487663,0.008738883257576713,0.0998518578299424,0.0059363714187308046,0.27034478366667286,0.00953033935279697,0.10086849227827455,0.004651566960801709,0.08205339500447444,0.010543730924708629
0.96,0.05815145100851864,0.005729152762992795,0.07397159709078191,0.004630307660896114,0.1596982694386211,0.01080189790277751,0.14523205131425115,0.014002277679527523,0.09154659407301206,0.006874816323028024
0.98,0.05534966828694091,0.005079976238478284,0.05901878750851106,0.005037689184986325,0.07658026093769482,0.004619232072943497,0.10559879568222216,0.0067681401011808395,0.10130245565108047,0.008610495614381972
1.0,0.06243101281217376,0.006079848259722836,0.053488609107047155,0.003300174194148272,0.0581355603671259,0.002449265690955077,0.0574823950061248,0.001638023522764908,0.06132068711106896,0.0022164255825902024
