aval,lambda,lambda_sem
0.6,-0.4842314080910041,0.0003704741697152831
0.61,-0.4664821586466648,0.00037662815585375633
0.62,-0.45050190181680444,0.00037664691435466247
0.63,-0.4345662723966138,0.0003651841911451883
0.64,-0.41843339411254693,0.00037240079425459146
0.65,-0.4023037219708616,0.00036251090159437503
0.66,-0.38728199992170276,0.0003786210098312908
0.67,-0.3716062488997484,0.0003706892661766106
0.68,-0.3565037168957331,0.0003840816628985199
0.69,-0.34207110707297506,0.00037894886909697455
0.7,-0.32720202135366727,0.00036976200744923295
0.71,-0.3134739882142436,0.0003777351421195456
0.72,-0.29765029553139377,0.0003852022402450332
0.73,-0.2841310657199582,0.0003982552396978058
0.74,-0.2624725842481338,0.0021064377866121223
0.75,-0.17436315488699586,0.0063548548692022545
0.7525,-0.12416630075575263,0.007565031213657784
0.755,-0.06164297774330846,0.008633837410211594
0.7575,-0.003953409214733767,0.009087139378809665
0.76,0.051055305927158005,0.009303957841447903
0.7625,0.11590883686812416,0.009153850898121471
0.765,0.17806526188615668,0.008464803496574472
0.7675,0.21869290041996142,0.00803988060409308
0.77,0.2575201668533459,0.007214832533376055
0.78,0.3524823902553532,0.003938617172567355
0.79,0.3815548274757898,0.002033403923780555
0.8,0.395290285749316,0.0007450824009696752
0.81,0.403754647735989,0.0006846857996225845
0.82,0.4086084610061792,0.0006437555698226751
0.83,0.4147781050801963,0.0006223489918743985
0.84,0.4190424367497266,0.0006057891372680325
0.85,0.42118457786930585,0.0005900512414625972
