aval,lambda,lambda_sem
0.6,-0.4838823325515449,0.0001612972603016151
0.61,-0.46654974990643405,0.00016384702307035477
0.62,-0.4504394824200645,0.0001570427209710699
0.63,-0.4342007946241598,0.00015709964418747667
0.64,-0.41821171550854186,0.00015998245690129723
0.65,-0.40270576211108566,0.000160110193215562
0.66,-0.3869829115725774,0.00015848956184208576
0.67,-0.37176385288114194,0.00016753626932966418
0.68,-0.3564462965458746,0.000166575943495412
0.69,-0.3417762658276691,0.00016110506954039364
0.7,-0.3270660951340572,0.0001567406278644819
0.71,-0.3126568108122888,0.0001682426729479546
0.72,-0.2981363009923196,0.00016169901751740448
0.73,-0.2823879556406348,0.0004990367421057443
0.74,-0.237621073010454,0.003237997551790317
0.75,-0.11377901070882739,0.0069067346322878335
0.7525,-0.052463203871445756,0.007692659989421852
0.755,0.007652446029516049,0.008272022677311388
0.7575,0.06695582219245418,0.008400523542520773
0.76,0.1139750890209841,0.008223285937583017
0.7625,0.1645931658532841,0.0079677832622873
0.765,0.21991469008339543,0.007254923808446889
0.7675,0.2500353512916313,0.0067388317940912075
0.77,0.28139399958062394,0.00607088550337759
0.78,0.35726036517478693,0.003198704405636145
0.79,0.3833697559433106,0.0015609574752161088
0.8,0.3962424458749164,0.0003096457298542138
0.81,0.4040129512204872,0.0002851095040001284
0.82,0.4092979116626636,0.0002529880321250314
0.83,0.41415762502986825,0.0002632353723745322
0.84,0.4184808349403553,0.0002485519214923919
0.85,0.42206062153034307,0.0002390068436700408
